,CA_Open,CA_High,CA_Low,CA_Close,CA_Adj Close,CA_Volume,CA_Dividend Amount,CA_Split Coefficient
2024-11-01,24.9649,24.9649,24.9649,24.9649,24.9649,51,0.0644,1.0
2024-10-31,25.0516,25.0516,25.0516,25.0516,24.9871026898832,3,0.0,1.0
2024-10-30,25.33,25.33,25.07,25.07,25.0054553176392,18602,0.0,1.0
2024-10-29,25.045,25.045,25.045,25.045,24.9805196821011,45,0.0,1.0
2024-10-28,25.07,25.07,25.07,25.07,25.0054553176392,4,0.0,1.0
2024-10-25,25.035,25.035,25.035,25.035,24.9705454278858,4,0.0,1.0
2024-10-24,24.92,24.92,24.91,24.92,24.8558415044104,323,0.0,1.0
2024-10-23,25.08,25.09,24.97,24.97,24.9057127754867,417,0.0,1.0
2024-10-22,25.2,25.2,25.16,25.16,25.0952236055765,344,0.0,1.0
2024-10-21,25.285,25.32,25.24,25.275,25.2099275290519,8454,0.0,1.0
2024-10-18,25.29,25.29,25.29,25.29,25.2248889103748,83,0.0,1.0
2024-10-17,25.28,25.45,25.23,25.26,25.194966147729,18885,0.0,1.0
2024-10-16,25.2856,25.3,25.255,25.255,25.1899790206214,354,0.0,1.0
2024-10-15,25.225,25.225,25.225,25.225,25.1600562579756,4,0.0,1.0
2024-10-14,25.23,25.23,25.17,25.17,25.1051978597918,7011,0.0,1.0
2024-10-11,25.25,25.31,25.17,25.17,25.1051978597918,2086,0.0,1.0
2024-10-10,25.16,25.21,25.16,25.21,25.1450948766528,2439,0.0,1.0
2024-10-09,25.16,25.16,25.16,25.16,25.0952236055765,5,0.0,1.0
2024-10-08,25.31,25.31,25.31,25.31,25.2448374188053,37,0.0,1.0
2024-10-07,25.275,25.275,25.275,25.275,25.2099275290519,30,0.0,1.0
2024-10-04,25.37,25.37,25.37,25.37,25.3046829440968,21,0.0,1.0
2024-10-03,25.42,25.42,25.42,25.42,25.3545542151731,11,0.0,1.0
2024-10-02,25.395,25.395,25.395,25.395,25.3296185796349,2,0.0,1.0
2024-10-01,25.44,25.44,25.44,25.44,25.3745027236036,3,0.0622,1.0
2024-09-30,25.405,25.405,25.405,25.405,25.2777696095928,1,0.0,1.0
2024-09-27,25.41,25.41,25.41,25.41,25.2827445691695,0,0.0,1.0
2024-09-26,25.37,25.37,25.37,25.37,25.2429448925553,5,0.0,1.0
2024-09-25,25.35,25.35,25.35,25.35,25.2230450542482,5,0.0,1.0
2024-09-24,25.35,25.39,25.35,25.39,25.2628447308624,800,0.0,1.0
2024-09-23,25.38,25.38,25.38,25.38,25.2528948117089,31,0.0,1.0
2024-09-20,25.35,25.35,25.35,25.35,25.2230450542482,31,0.0,1.0
2024-09-19,25.3207,25.39,25.3207,25.39,25.2628447308624,138,0.0,1.0
2024-09-18,25.3397,25.3397,25.3397,25.3397,25.2127966375201,10,0.0,1.0
2024-09-17,25.355,25.355,25.355,25.355,25.228020013825,12,0.0,1.0
2024-09-16,25.41,25.41,25.34,25.34,25.2130951350947,301,0.0,1.0
2024-09-13,25.341,25.365,25.341,25.35,25.2230450542482,295,0.0,1.0
2024-09-12,25.335,25.335,25.335,25.335,25.2081201755179,1,0.0,1.0
2024-09-11,25.34,25.34,25.34,25.34,25.2130951350947,66,0.0,1.0
2024-09-10,25.31,25.31,25.31,25.31,25.183245377634,51,0.0,1.0
2024-09-09,25.3011,25.3011,25.3011,25.3011,25.1743899495874,1,0.0,1.0
2024-09-06,25.297,25.297,25.297,25.297,25.1703104827344,37,0.0,1.0
2024-09-05,25.2545,25.2545,25.2545,25.2545,25.1280233263318,45,0.0,1.0
2024-09-04,25.25,25.25,25.25,25.25,25.1235458627128,57,0.0,1.0
2024-09-03,25.2,25.2,25.2,25.2,25.073796266945,4,0.0644,1.0
2024-08-30,25.22,25.22,25.22,25.22,25.0296916081399,4,0.0,1.0
2024-08-29,25.185,25.185,25.185,25.185,24.9949557157416,1,0.0,1.0
2024-08-28,25.205,25.205,25.205,25.205,25.014804797112,41,0.0,1.0
2024-08-27,25.22,25.22,25.215,25.215,25.0247293377972,100,0.0,1.0
2024-08-26,25.23,25.23,25.23,25.23,25.0396161488251,37,0.0,1.0
2024-08-23,25.245,25.245,25.245,25.245,25.0545029598529,5,0.0,1.0
2024-08-22,25.19,25.19,25.19,25.19,24.9999179860842,107,0.0,1.0
2024-08-21,25.22,25.22,25.21,25.21,25.0197670674546,107,0.0,1.0
2024-08-20,25.21,25.21,25.21,25.21,25.0197670674546,21,0.0,1.0
2024-08-19,25.175,25.175,25.175,25.175,24.9850311750563,26,0.0,1.0
2024-08-16,25.165,25.165,25.165,25.165,24.9751066343711,2,0.0,1.0
2024-08-15,25.15,25.15,25.15,25.15,24.9602198233433,2,0.0,1.0
2024-08-14,25.23,25.23,25.23,25.23,25.0396161488251,5,0.0,1.0
2024-08-13,25.21,25.21,25.21,25.21,25.0197670674546,10,0.0,1.0
2024-08-12,25.1318,25.1318,25.13,25.13,24.9403707419728,215,0.0,1.0
2024-08-09,25.12,25.12,25.12,25.12,24.9304462012876,5,0.0,1.0
2024-08-08,25.165,25.165,25.165,25.165,24.9751066343711,41,0.0,1.0
2024-08-07,25.265,25.265,25.265,25.265,25.0743520412234,8,0.0,1.0
2024-08-06,25.3399,25.3399,25.315,25.315,25.1239747446495,212,0.0,1.0
2024-08-05,25.35,25.36,24.83,25.36,25.168635177733,8565,0.0,1.0
2024-08-02,25.36,25.36,25.36,25.36,25.168635177733,55,0.0,1.0
2024-08-01,25.1713,25.1713,25.1713,25.1713,24.9813590950028,8,0.0644,1.0
2024-07-31,25.17,25.17,25.17,25.17,24.9162817663053,8,0.0,1.0
2024-07-30,25.13,25.13,25.13,25.13,24.8766849736691,5,0.0,1.0
2024-07-29,25.13,25.13,25.13,25.13,24.8766849736691,5,0.0,1.0
2024-07-26,25.15,25.15,25.15,25.15,24.8964833699872,8,0.0,1.0
2024-07-25,25.12,25.12,25.12,25.12,24.8667857755101,8,0.0,1.0
2024-07-24,25.1,25.1,25.07,25.07,24.8172897847149,306,0.0,1.0
2024-07-23,25.105,25.105,25.105,25.105,24.8519369782715,5,0.0,1.0
2024-07-22,25.14,25.14,25.14,25.14,24.8865841718281,33,0.0,1.0
2024-07-19,25.07,25.07,25.07,25.07,24.8172897847149,15,0.0,1.0
2024-07-18,25.13,25.13,25.13,25.13,24.8766849736691,6,0.0,1.0
2024-07-17,25.15,25.15,25.15,25.15,24.8964833699872,3227,0.0,1.0
2024-07-16,25.15,25.19,25.15,25.15,24.8964833699872,3227,0.0,1.0
2024-07-15,25.07,25.07,25.07,25.07,24.8172897847149,19,0.0,1.0
2024-07-12,25.18,25.18,25.08,25.08,24.8271889828739,340,0.0,1.0
2024-07-11,25.1796,25.1796,25.06,25.07,24.8172897847149,959,0.0,1.0
2024-07-10,25.02,25.09,25.02,25.09,24.8370881810329,246,0.0,1.0
2024-07-09,25.07,25.07,25.055,25.055,24.8024409874763,2042,0.0,1.0
2024-07-08,25.055,25.055,25.055,25.055,24.8024409874763,17,0.0,1.0
2024-07-05,25.055,25.055,25.055,25.055,24.8024409874763,42,0.0,1.0
2024-07-03,24.93,24.9762,24.93,24.9762,24.7244353059831,102,0.0,1.0
2024-07-02,24.91,24.92,24.91,24.92,24.6688018123293,206,0.0,1.0
2024-07-01,24.885,24.885,24.885,24.885,24.6341546187726,10,0.0633,1.0
2024-06-28,25.0078,25.0078,25.0078,25.0078,24.6928757105322,44,0.0,1.0
2024-06-27,25.0504,25.0504,25.0504,25.0504,24.7349392469196,0,0.0,1.0
2024-06-26,25.035,25.035,25.035,25.035,24.7197331797749,2101,0.0,1.0
2024-06-25,25.0779,25.0958,25.06,25.0958,24.7797675227878,2101,0.0,1.0
2024-06-24,25.1001,25.1001,25.1001,25.1001,24.7840133727049,26,0.0,1.0
2024-06-21,25.085,25.085,25.085,25.085,24.7691035276474,33,0.0,1.0
2024-06-20,25.05,25.05,25.05,25.05,24.7345442841366,33,0.0,1.0
2024-06-18,25.12,25.12,25.12,25.12,24.8036627711582,2,0.0,1.0
2024-06-17,25.055,25.055,25.055,25.055,24.7394813189239,2,0.0,1.0
2024-06-14,25.105,25.105,25.105,25.105,24.7888516667964,10,0.0,1.0
2024-06-13,25.085,25.085,25.085,25.085,24.7691035276474,4,0.0,1.0
2024-06-12,24.98,24.98,24.98,24.98,24.6654257971151,4,0.0,1.0
2024-06-11,24.93,24.93,24.93,24.93,24.6160554492425,88,0.0,1.0
2024-06-10,24.86,24.86,24.86,24.86,24.546936962221,88,0.0,1.0
2024-06-07,24.88,24.88,24.88,24.88,24.56668510137,101,0.0,1.0
2024-06-06,24.95,24.95,24.935,24.935,24.6209924840298,100,0.0,1.0
2024-06-05,24.86,24.87,24.8552,24.8552,24.5421974088252,1240,0.0,1.0
2024-06-04,24.81,24.81,24.79,24.79,24.4778184751995,100,0.0,1.0
2024-06-03,24.94,24.94,24.74,24.765,24.4531333012632,2327,0.0656,1.0
2024-05-31,24.75,24.75,24.7105,24.7105,24.3348982238364,101,0.0,1.0
2024-05-30,24.72,24.72,24.695,24.695,24.3196338252015,100,0.0,1.0
2024-05-29,24.69,24.69,24.69,24.69,24.3147098256418,742,0.0,1.0
2024-05-28,24.85,24.85,24.745,24.745,24.3688738207982,742,0.0,1.0
2024-05-24,24.79,24.79,24.79,24.79,24.4131898168352,2,0.0,1.0
2024-05-23,24.795,24.795,24.795,24.795,24.4181138163948,184,0.0,1.0
2024-05-22,24.865,24.865,24.865,24.865,24.4870498102302,184,0.0,1.0
2024-05-21,24.935,24.935,24.935,24.935,24.5559858040655,3,0.0,1.0
2024-05-20,25.0,25.0,24.965,24.965,24.5855298014236,2178,0.0,1.0
2024-05-17,25.02,25.02,25.01,25.01,24.6298457974606,117,0.0,1.0
2024-05-16,25.07,25.07,25.035,25.035,24.6544657952589,116,0.0,1.0
2024-05-15,25.11,25.11,25.11,25.11,24.7283257886539,30,0.0,1.0
2024-05-14,25.05,25.05,25.05,25.05,24.6692377939379,30,0.0,1.0
2024-05-13,25.025,25.025,25.025,25.025,24.6446177961396,2,0.0,1.0
2024-05-10,25.01,25.01,25.01,25.01,24.6298457974606,2,0.0,1.0
2024-05-09,25.06,25.06,25.04,25.04,24.6593897948186,102,0.0,1.0
2024-05-08,25.06,25.06,25.035,25.035,24.6544657952589,181,0.0,1.0
2024-05-07,25.03,25.03,25.01,25.01,24.6298457974606,299,0.0,1.0
2024-05-06,24.97,24.97,24.945,24.945,24.5658338031849,102,0.0,1.0
2024-05-03,24.91,24.91,24.885,24.885,24.5067458084689,101,0.0,1.0
2024-05-02,24.87,24.87,24.845,24.845,24.4673538119915,100,0.0,1.0
2024-05-01,24.8153,24.8153,24.8153,24.8153,24.4381052546071,9,0.0622,1.0
2024-04-30,24.8459,24.8459,24.8459,24.8459,24.4070437626195,9,0.0,1.0
2024-04-29,24.8659,24.8659,24.8659,24.8659,24.4266905001196,5,0.0,1.0
2024-04-26,24.845,24.845,24.845,24.845,24.406159659432,2,0.0,1.0
2024-04-25,24.82,24.82,24.82,24.82,24.381601237557,2,0.0,1.0
2024-04-24,24.92,24.92,24.92,24.92,24.4798349250572,12,0.0,1.0
2024-04-23,24.9459,24.9459,24.9459,24.9459,24.5052774501197,1,0.0,1.0
2024-04-22,24.9,24.9,24.845,24.845,24.406159659432,100,0.0,1.0
2024-04-19,24.89,24.89,24.84,24.84,24.401247975057,400,0.0,1.0
2024-04-18,24.91,24.96,24.91,24.96,24.5191284000573,303,0.0,1.0
2024-04-17,24.915,24.915,24.915,24.915,24.4749232406822,0,0.0,1.0
2024-04-16,24.89,24.89,24.89,24.89,24.4503648188071,3,0.0,1.0
2024-04-15,24.896,24.896,24.896,24.896,24.4562588400571,3,0.0,1.0
2024-04-12,24.9131,24.9131,24.9131,24.9131,24.4730568006197,2,0.0,1.0
2024-04-11,24.855,24.855,24.855,24.855,24.415983028182,24,0.0,1.0
2024-04-10,24.86,24.86,24.845,24.845,24.406159659432,518,0.0,1.0
2024-04-09,24.98,24.98,24.9613,24.9613,24.5204054379948,112,0.0,1.0
2024-04-08,24.98,24.98,24.98,24.98,24.5387751375573,167,0.0,1.0
2024-04-05,24.895,24.895,24.895,24.895,24.4552765031821,1598,0.0,1.0
2024-04-04,24.99,25.05,24.99,25.05,24.6075387188075,139,0.0,1.0
2024-04-03,24.92,24.92,24.92,24.92,24.4798349250572,18,0.0,1.0
2024-04-02,25.0,25.0,25.0,25.0,24.5584218750574,2,0.0,1.0
2024-04-01,25.07,25.07,25.07,25.07,24.6271854563075,1351,0.0644,1.0
2024-03-28,25.2294,25.2294,25.2294,25.2294,24.720229006549,1351,0.0,1.0
2024-03-27,25.21,25.21,25.21,25.21,24.7012205306151,1,0.0,1.0
2024-03-26,25.23,25.23,25.2,25.2,24.691422347144,101,0.0,1.0
2024-03-25,25.61,25.61,25.23,25.23,24.7208168975573,911,0.0,1.0
2024-03-22,25.3,25.3,25.27,25.27,24.7600096314416,100,0.0,1.0
2024-03-21,25.24,25.24,25.24,25.24,24.7306150810283,9,0.0,1.0
2024-03-20,25.28,26.77,25.25,25.25,24.7404132644994,6720,0.0,1.0
2024-03-19,25.31,25.31,25.28,25.28,24.7698078149127,342,0.0,1.0
2024-03-18,25.29,25.29,25.27,25.27,24.7600096314416,227,0.0,1.0
2024-03-15,25.24,25.2679,25.24,25.2679,24.7579520129127,1006,0.0,1.0
2024-03-14,25.28,25.28,25.28,25.28,24.7698078149127,16,0.0,1.0
2024-03-13,25.36,25.36,25.3388,25.3388,24.8274211337227,305,0.0,1.0
2024-03-12,25.33,25.33,25.33,25.33,24.8187987322681,1,0.0,1.0
2024-03-11,25.35,25.35,25.35,25.35,24.8383950992103,1,0.0,1.0
2024-03-08,25.35,25.35,25.35,25.35,24.8383950992103,53,0.0,1.0
2024-03-07,25.33,25.33,25.33,25.33,24.8187987322681,1,0.0,1.0
2024-03-06,25.33,25.33,25.3069,25.3069,24.7961649284499,191,0.0,1.0
2024-03-05,25.31,25.31,25.3,25.3,24.7894041818549,361,0.0,1.0
2024-03-04,25.15,25.2751,25.15,25.2751,24.7650067050119,672,0.0,1.0
2024-03-01,25.31,25.31,25.28,25.28,24.7698078149127,419,0.0611,1.0
2024-02-29,25.34,25.34,25.31,25.31,24.7393991737315,103,0.0,1.0
2024-02-28,25.2801,25.34,25.2801,25.31,24.7393991737315,1015,0.0,1.0
2024-02-27,25.26,25.26,25.245,25.245,24.6758645650278,220,0.0,1.0
2024-02-26,25.32,25.33,25.3,25.3,24.7296246185464,406,0.0,1.0
2024-02-23,25.3,25.3,25.3,25.3,24.7296246185464,38,0.0,1.0
2024-02-22,25.26,25.26,25.26,25.26,24.6905263978056,2,0.0,1.0
2024-02-21,25.27,25.27,25.27,25.27,24.7003009529908,30,0.0,1.0
2024-02-20,25.28,25.28,25.27,25.27,24.7003009529908,102,0.0,1.0
2024-02-16,25.23,25.26,25.23,25.24,24.6709772874352,2215,0.0,1.0
2024-02-15,25.26,25.26,25.26,25.26,24.6905263978056,10,0.0,1.0
2024-02-14,25.24,25.24,25.24,25.24,24.6709772874352,3100,0.0,1.0
2024-02-13,25.1999,25.1999,25.17,25.17,24.6025554011388,3100,0.0,1.0
2024-02-12,25.3,25.3,25.3,25.3,24.7296246185464,1,0.0,1.0
2024-02-09,25.245,25.245,25.245,25.245,24.6758645650278,44,0.0,1.0
2024-02-08,25.25,25.25,25.25,25.25,24.6807518426204,101,0.0,1.0
2024-02-07,25.25,25.25,25.25,25.25,24.6807518426204,101,0.0,1.0
2024-02-06,25.26,25.26,25.26,25.26,24.6905263978056,2,0.0,1.0
2024-02-05,25.21,25.21,25.21,25.21,24.6416536218796,2,0.0,1.0
2024-02-02,25.32,25.32,25.32,25.32,24.7491737289167,5,0.0,1.0
2024-02-01,25.505,25.505,25.505,25.505,24.9300029998429,10,0.04,1.0
2024-01-31,25.425,25.425,25.425,25.425,24.8128920051284,1200,0.0,1.0
2024-01-30,25.27,25.3,25.26,25.28,24.6713828865151,1200,0.0,1.0
2024-01-29,25.25,25.26,25.2455,25.2455,24.6377134755347,702,0.0,1.0
2024-01-26,25.165,25.165,25.165,25.165,24.5591515165804,12,0.0,1.0
2024-01-25,25.19,25.19,25.175,25.175,24.5689107661399,148,0.0,1.0
2024-01-24,25.15,25.17,25.14,25.16,24.5542718918006,901,0.0,1.0
2024-01-23,25.15,25.15,25.15,25.15,24.5445126422411,1,0.0,1.0
2024-01-22,25.19,25.1942,25.19,25.19,24.5835496404792,404,0.0,1.0
2024-01-19,25.17,25.17,25.17,25.17,24.5640311413602,2,0.0,1.0
2024-01-18,25.24,25.25,25.1965,25.2051,24.5982861073141,1401,0.0,1.0
2024-01-17,25.28,25.28,25.265,25.265,24.6567440121758,500203,0.0,1.0
2024-01-16,25.325,25.325,25.325,25.325,24.715299509533,1,0.0,1.0
2024-01-12,25.39,25.39,25.39,25.39,24.77873463167,0,0.0,1.0
2024-01-11,25.4,25.4,25.4,25.4,24.7884938812296,6519,0.0,1.0
2024-01-10,25.39,25.4,25.37,25.37,24.7592161325509,6519,0.0,1.0
2024-01-09,25.42,25.42,25.39,25.39,24.77873463167,200,0.0,1.0
2024-01-08,25.42,25.42,25.405,25.405,24.7933735060093,204,0.0,1.0
2024-01-05,25.31,25.34,25.31,25.34,24.7299383838723,502,0.0,1.0
2024-01-04,25.35,25.36,25.345,25.345,24.7348180086521,321,0.0,1.0
2024-01-03,25.3688,25.41,25.3688,25.395,24.7836142564498,861,0.0,1.0
2024-01-02,25.37,25.37,25.35,25.35,24.7396976334319,101,0.0,1.0
2023-12-29,25.395,25.395,25.395,25.395,24.7836142564498,200,0.0,1.0
2023-12-28,25.36,25.36,25.36,25.36,24.7494568829914,260,0.0,1.0
2023-12-27,25.38,25.41,25.38,25.405,24.7933735060093,4801,0.0,1.0
2023-12-26,25.33,25.34,25.325,25.325,24.715299509533,1423,0.0,1.0
2023-12-22,25.33,25.33,25.315,25.315,24.7055402599735,900,0.0,1.0
2023-12-21,25.34,25.34,25.325,25.325,24.715299509533,1310,0.0,1.0
2023-12-20,25.31,25.34,25.3096,25.325,24.715299509533,1702,0.0,1.0
2023-12-19,25.27,25.28,25.265,25.265,24.6567440121758,2502,0.0,1.0
2023-12-18,25.24,25.24,25.225,25.225,24.6177070139376,1300,0.0,1.0
2023-12-15,25.225,25.225,25.225,25.225,24.6177070139376,10,0.0,1.0
2023-12-14,25.195,25.195,25.195,25.195,24.588429265259,0,0.0,1.0
