,IIVI_Open,IIVI_High,IIVI_Low,IIVI_Close,IIVI_Adj Close,IIVI_Volume,IIVI_Dividend Amount,IIVI_Split Coefficient
2023-06-30,220.96,228.18,220.96,227.08,227.08,247144,0.0,1.0
2023-06-29,210.91,216.92,203.94,215.26,215.26,73303,0.0,1.0
2023-06-28,208.97,213.91,206.74,211.33,211.33,7005,0.0,1.0
2023-06-27,203.66,214.94,202.89,214.1,214.1,22442,0.0,1.0
2023-06-26,206.79,210.41,203.41,205.94,205.94,8157,0.0,1.0
2023-06-23,210.05,210.05,205.34,207.77,207.77,85397,0.0,1.0
2023-06-22,206.1,216.59,206.1,214.22,214.22,61367,0.0,1.0
2023-06-21,224.96,224.96,208.3,208.99,208.99,96130,0.0,1.0
2023-06-20,235.0,242.945,228.59,231.03,231.03,87491,0.0,1.0
2023-06-16,236.07,236.07,228.56,230.24,230.24,93149,0.0,1.0
2023-06-15,214.2,226.0465,213.285,223.01,223.01,314375,0.0,1.0
2023-06-14,203.57,233.86,203.57,216.8,216.8,839510,3.0,1.0
2023-06-13,195.95,207.0,195.95,200.265,197.531628753412,60877,0.0,1.0
2023-06-12,187.17,193.47,187.17,193.44,190.799781619654,10082,0.0,1.0
2023-06-09,187.04,188.2,181.98,182.05,179.565241128298,8612,0.0,1.0
2023-06-08,181.8,185.14,181.49,183.59,181.084222020018,102923,0.0,1.0
2023-06-07,178.5,185.13,178.5,183.53,181.025040946315,53400,0.0,1.0
2023-06-06,175.76,184.08,175.76,178.6,176.162329390355,79039,0.0,1.0
2023-06-05,174.9,174.9,174.9,174.9,172.512829845314,62203,0.0,1.0
2023-06-02,179.87,182.67,179.87,182.0,179.515923566879,55751,0.0,1.0
2023-06-01,175.07,179.7,173.49,179.19,176.744276615105,55288,0.0,1.0
2023-05-31,176.3,178.1525,174.35,175.47,173.075050045496,18400,0.0,1.0
2023-05-30,186.04,193.67,176.0,177.45,175.028025477707,19413,0.0,1.0
2023-05-26,165.8,175.01,165.42,174.18,171.802656960874,8197,0.0,1.0
2023-05-25,148.03,151.5,148.03,151.5,149.432211101001,1421,0.0,1.0
2023-05-24,148.035,148.035,146.85,146.85,144.84567788899,1320,0.0,1.0
2023-05-23,154.02,154.86,150.884,152.04,149.964840764331,1186,0.0,1.0
2023-05-22,151.8,152.1851,151.8,152.1851,150.107960327571,1531,0.0,1.0
2023-05-19,145.15,147.43,145.09,147.43,145.417761601456,1768,0.0,1.0
2023-05-18,144.43,144.43,142.88,142.88,140.929863512284,1100,0.0,1.0
2023-05-17,131.69,134.5,131.69,134.5,132.66424021838,1834,0.0,1.0
2023-05-16,131.07,131.07,131.06,131.06,129.271191992721,662,0.0,1.0
2023-05-15,133.48,133.48,133.01,133.1,131.283348498635,78853,0.0,1.0
2023-05-12,137.85,137.85,130.51,135.15,133.305368516833,20138,0.0,1.0
2023-05-11,140.59,140.59,140.19,140.19,138.276578707916,30178,0.0,1.0
2023-05-10,122.99,142.9575,122.99,142.9575,141.006305732484,7594,0.0,1.0
2023-05-09,150.77,150.77,150.2,150.2,148.149954504095,1444,0.0,1.0
2023-05-08,150.82,150.82,150.82,150.82,148.761492265696,1103,0.0,1.0
2023-05-05,151.2,151.2,151.2,151.2,149.136305732484,676,0.0,1.0
2023-05-04,154.43,154.43,147.57,148.0,145.979981801638,7716,0.0,1.0
2023-05-03,157.64,160.69,157.21,160.69,158.4967788899,2553,0.0,1.0
2023-05-02,157.5901,157.5901,157.5901,157.5901,155.439188717015,672,0.0,1.0
2023-05-01,160.0,161.8,160.0,161.8,159.591628753412,733,0.0,1.0
2023-04-28,151.94,163.0,151.94,159.42,157.244112829845,13041,0.0,1.0
2023-04-27,152.8,153.49,152.39,152.39,150.310063694267,1719,0.0,1.0
2023-04-26,155.86,155.86,155.86,155.86,153.732702456779,25266,0.0,1.0
2023-04-25,158.14,158.14,154.69,155.86,153.732702456779,31099,0.0,1.0
2023-04-24,159.745,159.745,159.745,159.745,157.564676979072,313,0.0,1.0
2023-04-21,159.745,159.745,159.745,159.745,157.564676979072,182,0.0,1.0
2023-04-20,157.58,159.745,156.76,159.745,157.564676979072,1636,0.0,1.0
2023-04-19,156.425,157.15,156.425,157.15,155.005095541401,427,0.0,1.0
2023-04-18,159.5,159.5,159.5,159.5,157.323020928116,787,0.0,1.0
2023-04-17,158.48,159.6,158.46,159.6,157.421656050955,11313,0.0,1.0
2023-04-14,160.0,160.0,158.5,158.5,156.336669699727,1294,0.0,1.0
2023-04-13,159.01,159.3911,159.01,159.3911,157.215607279345,1929,0.0,1.0
2023-04-12,161.91,161.91,160.98,160.98,158.782820746133,10671,0.0,1.0
2023-04-11,160.18,163.05,160.18,161.07,158.871592356688,1858,0.0,1.0
2023-04-10,155.35,155.35,155.35,155.35,153.2296633303,1524,0.0,1.0
2023-04-06,163.96,164.0,149.83,153.71,151.612047315742,12876,0.0,1.0
2023-04-05,171.55,171.55,168.95,168.95,166.644040036397,1702,0.0,1.0
2023-04-04,171.52,171.52,170.3501,170.3501,168.025030391265,12155,0.0,1.0
2023-04-03,173.99,174.24,171.37,171.37,169.031010009099,10119,0.0,1.0
2023-03-31,172.83,177.855,172.2682,174.99,172.601601455869,86471,0.0,1.0
2023-03-30,171.86,172.13,171.86,172.13,169.780636942675,1874,0.0,1.0
2023-03-29,165.37,165.6,165.37,165.6,163.339763421292,993,0.0,1.0
2023-03-28,160.5,161.85,160.2323,161.85,159.640946314832,80154,0.0,1.0
2023-03-27,162.39,162.423,162.39,162.423,160.206125568699,7938,0.0,1.0
2023-03-24,162.89,162.89,157.4661,160.83,158.634868061874,8789,0.0,1.0
2023-03-23,163.67,166.05,162.0,162.0,159.78889899909,61889,0.0,1.0
2023-03-22,163.83,163.83,160.36,160.36,158.171282984531,5331,0.0,1.0
2023-03-21,165.0,165.0,161.5,162.0,159.78889899909,2886,0.0,1.0
2023-03-20,160.0,162.291,160.0,161.33,159.128043676069,2746,0.0,1.0
2023-03-17,160.98,161.28,159.37,160.0,157.816196542311,2949,0.0,1.0
2023-03-16,164.0,165.8,164.0,165.8,163.53703366697,2106,0.0,1.0
2023-03-15,169.07,169.07,162.1038,164.42,162.175868971793,3054,0.0,1.0
2023-03-14,171.88,171.88,167.75,170.13,167.807934485896,18924,3.0,1.0
2023-03-13,174.81,176.22,170.99,170.99,165.733718695451,9403,0.0,1.0
2023-03-10,180.0,180.0,175.09,177.9587,172.488198872496,4316,0.0,1.0
2023-03-09,184.54,184.54,182.29,182.29,176.686353476775,2187,0.0,1.0
2023-03-08,184.53,186.13,184.0,186.07,180.350155200085,2064,0.0,1.0
2023-03-07,189.1,189.1,185.2,185.2,179.506899247895,3498,0.0,1.0
2023-03-06,195.88,195.88,190.0,190.03,184.188423672124,2640,0.0,1.0
2023-03-03,191.46,193.24,191.45,193.24,187.299747357792,1924,0.0,1.0
2023-03-02,188.24,190.23,181.99,190.23,184.382275615156,8454,0.0,1.0
2023-03-01,191.08,191.08,189.63,190.68,184.818442486979,5469,0.0,1.0
2023-02-28,190.0,192.95,187.9,191.62,185.729546619231,43254,0.0,1.0
2023-02-27,194.01,194.01,187.36,187.84,182.065744895921,27116,0.0,1.0
2023-02-24,195.0,195.0,186.23,189.2476,183.430074870982,34685,0.0,1.0
2023-02-23,195.98,195.98,193.41,195.01,189.015337053628,402955,0.0,1.0
2023-02-22,193.63,193.63,185.67,187.51,181.745889189917,29054,0.0,1.0
2023-02-21,193.04,195.0,187.8,187.93,182.152978270285,15131,0.0,1.0
2023-02-17,198.0,198.0,198.0,198.0,191.913423601961,287,0.0,1.0
2023-02-16,198.0,198.0,198.0,198.0,191.913423601961,1223,0.0,1.0
2023-02-15,193.5,198.29,193.5,198.2,192.107275544993,5555,0.0,1.0
2023-02-14,191.88,193.54,191.88,193.52,187.571140078038,5887,0.0,1.0
2023-02-13,187.88,187.88,187.88,187.88,182.104515284527,50028,0.0,1.0
2023-02-10,183.95,186.25,183.17,186.25,180.524621948814,2709,0.0,1.0
2023-02-09,188.15,190.77,188.15,188.38,182.589145142108,2826,0.0,1.0
2023-02-08,188.0,188.21,187.12,188.08,182.298367227559,14767,0.0,1.0
2023-02-07,187.49,189.23,187.49,189.23,183.413015899995,2889,0.0,1.0
2023-02-06,189.16,189.16,186.77,188.48,182.686071113624,51135,0.0,1.0
2023-02-03,196.01,196.01,196.01,196.01,189.984596768789,10317,0.0,1.0
2023-02-02,196.28,200.76,196.25,200.19,194.036102378164,12825,0.0,1.0
2023-02-01,189.47,189.47,189.47,189.47,183.645638231634,2347,0.0,1.0
2023-01-31,188.13,189.47,188.13,189.47,183.645638231634,4504,0.0,1.0
2023-01-30,194.92,194.92,194.92,194.92,188.928103679264,2342,0.0,1.0
2023-01-27,193.51,195.19,192.82,194.92,188.928103679264,5731,0.0,1.0
2023-01-26,193.17,194.32,192.49,194.32,188.346547850167,6493,0.0,1.0
2023-01-25,192.0,192.0,192.0,192.0,186.097865310992,276,0.0,1.0
2023-01-24,192.79,192.79,191.94,192.02,186.117250505295,12440,0.0,1.0
2023-01-23,192.32,193.59,192.32,193.59,187.638988258099,3014,0.0,1.0
2023-01-20,189.82,189.82,189.82,189.82,183.98487913194,403,0.0,1.0
2023-01-19,189.82,189.82,189.82,189.82,183.98487913194,70,0.0,1.0
2023-01-18,190.42,191.21,189.82,189.82,183.98487913194,1943,0.0,1.0
2023-01-17,182.94,185.83,182.94,185.83,180.117532868446,8587,0.0,1.0
2023-01-13,180.0844,181.62,180.0844,181.12,175.552319610036,1225,0.0,1.0
2023-01-12,174.04,174.04,174.04,174.04,168.689960826693,30663,0.0,1.0
2023-01-11,174.45,174.45,174.04,174.04,168.689960826693,493,0.0,1.0
2023-01-10,173.49,173.49,172.205,173.06,167.740086305835,1534,0.0,1.0
2023-01-09,167.85,174.7,167.85,174.03,168.680268229542,1529,0.0,1.0
2023-01-06,164.4,165.62,164.39,164.81,159.743693655753,4139,0.0,1.0
2023-01-05,160.85,162.02,160.85,162.02,157.039459050453,2376,0.0,1.0
2023-01-04,161.0,163.41,161.0,162.54,157.543474102337,2167,0.0,1.0
2023-01-03,162.37,162.37,162.37,162.37,157.378699950759,4910,0.0,1.0
2022-12-30,159.72,159.91,159.72,159.9,154.984628454311,1440,0.0,1.0
2022-12-29,153.29,158.32,153.29,158.25,153.385349924294,1051,0.0,1.0
2022-12-28,152.05,152.05,152.05,152.05,147.375939690294,907,0.0,1.0
2022-12-27,150.93,152.05,150.754,152.05,147.375939690294,2234,0.0,1.0
2022-12-23,151.89,151.89,151.066,151.066,146.422188130575,1426,0.0,1.0
2022-12-22,150.28,150.28,150.28,150.28,145.660349994458,4363,0.0,1.0
2022-12-21,156.5,156.5,154.31,154.31,149.566466646558,3676,0.0,1.0
2022-12-20,154.31,155.02,154.1,154.6,149.847551963955,1409,0.0,1.0
2022-12-19,159.91,159.91,159.91,159.91,154.994321051462,528,0.0,1.0
2022-12-16,160.0,160.0,157.83,159.91,154.994321051462,4361,0.0,1.0
2022-12-15,160.0,160.0,157.75,158.33,153.462890701507,62966,0.0,1.0
2022-12-14,172.57,172.78,167.12,167.12,161.982683597776,26817,3.0,1.0
2022-12-13,174.97,174.97,173.88,174.7,166.343609361224,118252,0.0,1.0
2022-12-12,161.57,162.95,161.57,162.95,155.155644793426,2392,0.0,1.0
2022-12-09,165.18,165.18,164.23,164.23,156.374418805918,613,0.0,1.0
2022-12-08,168.69,168.69,168.69,168.69,160.621084505695,660,0.0,1.0
2022-12-07,163.36,163.36,163.36,163.36,155.546033344302,560,0.0,1.0
2022-12-06,163.17,163.36,163.17,163.36,155.546033344302,1182,0.0,1.0
2022-12-05,169.68,169.68,168.71,168.73,160.659171193586,3250,0.0,1.0
2022-12-02,169.0,170.765,169.0,170.765,162.596831440008,570,0.0,1.0
2022-12-01,169.29,170.62,169.11,169.55,161.439948295338,1335,0.0,1.0
2022-11-30,161.05,167.15,159.67,167.1,159.107138662053,2698,0.0,1.0
2022-11-29,162.27,162.27,162.27,162.27,154.50817109929,3102,0.0,1.0
2022-11-28,173.1,173.1,164.74,164.74,156.86002407652,2073,0.0,1.0
2022-11-25,169.0,169.0,169.0,169.0,160.916256336846,181,0.0,1.0
2022-11-23,169.0,169.0,169.0,169.0,160.916256336846,471,0.0,1.0
2022-11-22,162.82,165.09,162.82,165.09,157.193282595561,811,0.0,1.0
2022-11-21,163.12,163.12,162.4,162.4,154.631952834933,612,0.0,1.0
2022-11-18,166.78,166.78,166.76,166.76,158.783401814984,548,0.0,1.0
2022-11-17,165.15,169.01,165.14,166.61,158.640576735396,2183,0.0,1.0
2022-11-16,174.9,174.9,170.99,170.99,162.811069059392,779,0.0,1.0
2022-11-15,184.25,185.76,184.25,185.72,176.836491875023,3338,0.0,1.0
2022-11-14,172.54,175.53,172.54,173.3113,165.02133477439,22930,0.0,1.0
2022-11-11,169.72,175.625,169.72,175.625,167.224364018689,22853,0.0,1.0
2022-11-10,156.8,160.41,156.8,160.41,152.737140112387,21437,0.0,1.0
2022-11-09,147.01,155.96,147.01,151.97,144.700848967517,2451,0.0,1.0
2022-11-08,145.96,145.96,141.47,142.56,135.740955641306,1408,0.0,1.0
2022-11-07,146.9,148.31,146.9,148.31,141.215917025548,1770,0.0,1.0
2022-11-04,154.67,154.67,149.16,149.4629,142.313670587268,1315,0.0,1.0
2022-11-03,148.6,148.6,148.6,148.6,141.492045512753,741,0.0,1.0
2022-11-02,156.66,156.66,155.315,156.535,149.047492223007,806,0.0,1.0
2022-11-01,157.2,158.01,157.2,157.65,150.109158647951,835,0.0,1.0
2022-10-31,156.14,156.14,155.16,155.16,147.738262326775,35856,0.0,1.0
2022-10-28,156.86,156.86,156.86,156.86,149.356946562116,362,0.0,1.0
2022-10-27,155.78,155.78,154.29,154.29,146.909876865159,668,0.0,1.0
2022-10-26,153.84,157.19,153.84,156.98,149.471206625787,813,0.0,1.0
2022-10-25,148.28,148.28,148.28,148.28,141.18735200963,390,0.0,1.0
2022-10-24,148.28,148.28,148.28,148.28,141.18735200963,258,0.0,1.0
2022-10-21,148.28,148.28,148.28,148.28,141.18735200963,307,0.0,1.0
2022-10-20,148.28,148.28,148.28,148.28,141.18735200963,109,0.0,1.0
2022-10-19,148.28,148.28,148.28,148.28,141.18735200963,197,0.0,1.0
2022-10-18,151.05,151.05,147.7,148.28,141.18735200963,31599,0.0,1.0
2022-10-17,143.13,147.75,143.13,147.41,140.358966548014,3023,0.0,1.0
2022-10-14,146.54,146.54,146.54,146.54,139.530581086399,10327,0.0,1.0
2022-10-13,154.21,154.21,154.21,154.21,146.833703489378,21145,0.0,1.0
2022-10-12,154.21,154.21,154.21,154.21,146.833703489378,431,0.0,1.0
2022-10-11,156.0881,156.0881,154.21,154.21,146.833703489378,10530,0.0,1.0
2022-10-10,160.58,160.58,160.58,160.58,152.899008535921,35417,0.0,1.0
2022-10-07,166.17,166.17,164.09,164.09,156.241115398302,597,0.0,1.0
2022-10-06,171.3,172.6461,168.86,168.86,160.782952929229,1938,0.0,1.0
2022-10-05,167.66,168.24,167.06,167.06,159.069051974162,13032,0.0,1.0
2022-10-04,169.71,169.71,169.71,169.71,161.5922950469,672,0.0,1.0
2022-10-03,159.4,162.75,159.4,162.75,154.965211353974,877,0.0,1.0
2022-09-30,162.45,162.45,156.4,156.46,148.976079683212,122889,0.0,1.0
2022-09-29,158.97,160.04,158.42,159.56,151.927797994716,5017,0.0,1.0
2022-09-28,164.89,164.89,164.22,164.22,156.364897133945,1746,0.0,1.0
2022-09-27,164.69,165.22,162.2,163.6,155.774553471645,2074,0.0,1.0
2022-09-26,167.39,167.41,165.02,165.02,157.126630891753,4252,0.0,1.0
2022-09-23,169.77,169.77,161.61,166.93,158.945270238519,21119,0.0,1.0
2022-09-22,175.24,177.29,170.8,171.28,163.087197546597,13169,0.0,1.0
2022-09-21,181.535,183.04,178.68,178.88,170.323668245769,9545,0.0,1.0
2022-09-20,179.13,180.68,177.89,178.44,169.904714678975,4377,0.0,1.0
2022-09-19,180.0,181.71,178.56,179.24,170.666448436782,13475,0.0,1.0
2022-09-16,181.35,182.51,179.91,182.42,173.694340124067,68140,0.0,1.0
2022-09-15,184.48,189.38,181.69,183.47,174.69411568119,33706,0.0,1.0
2022-09-14,186.9,188.26,182.77,183.65,174.865505776696,6119,3.0,1.0
2022-09-13,192.66,193.21,190.51,191.27,179.193813500716,26326,0.0,1.0
2022-09-12,196.46,196.5001,196.46,196.5001,184.093701428724,20991,0.0,1.0
2022-09-09,189.82,192.5,189.5799,192.5,180.346155167501,1203,0.0,1.0
2022-09-08,187.26,187.37,186.44,187.37,175.54004724018,840,0.0,1.0
2022-09-07,183.1,185.3053,181.3,184.52,172.869987280557,5952,0.0,1.0
2022-09-06,191.94,191.94,181.0,183.62,172.026810451203,5993,0.0,1.0
2022-09-02,194.03,196.32,188.68,189.17,177.226400898889,36444,0.0,1.0
2022-09-01,205.96,205.96,192.34,192.38,180.233731590254,3463,0.0,1.0
2022-08-31,203.06,204.77,202.45,202.45,189.667943447587,7808,0.0,1.0
2022-08-30,213.0,213.0,206.61,206.72,193.668349071303,3183,0.0,1.0
2022-08-29,218.89,218.89,214.0,214.0,200.488712757637,1126,0.0,1.0
2022-08-26,221.83,221.86,221.81,221.86,207.852457067334,6998,0.0,1.0
2022-08-25,227.77,228.48,227.55,228.48,214.054491078808,3428,0.0,1.0
2022-08-24,242.41,242.41,232.63,234.37,219.572614995362,18092,0.0,1.0
2022-08-23,233.56,233.56,231.63,232.33,217.661414182158,13858,0.0,1.0
2022-08-22,230.01,231.52,230.01,230.78,216.209276309381,64625,0.0,1.0
2022-08-19,234.09,236.02,234.09,236.02,221.118439182512,921,0.0,1.0
2022-08-18,234.88,235.0,233.16,234.13,219.347767840868,18361,0.0,1.0
2022-08-17,228.0,228.0,228.0,228.0,213.604796769819,382,0.0,1.0
2022-08-16,228.0,228.0,228.0,228.0,213.604796769819,438,0.0,1.0
2022-08-15,221.97,221.97,221.97,221.97,207.955512013144,114,0.0,1.0
2022-08-12,221.16,221.97,221.16,221.97,207.955512013144,454,0.0,1.0
2022-08-11,218.63,218.63,218.63,218.63,204.826389113095,187,0.0,1.0
2022-08-10,218.63,218.63,218.63,218.63,204.826389113095,285,0.0,1.0
2022-08-09,224.54,224.54,224.54,224.54,210.363250292523,305,0.0,1.0
2022-08-08,224.54,224.54,224.54,224.54,210.363250292523,289,0.0,1.0
2022-08-05,221.9404,221.9404,221.9404,221.9404,207.92778086409,113,0.0,1.0
2022-08-04,224.0,225.09,224.0,225.0,210.794207338638,683,0.0,1.0
2022-08-03,222.99,224.47,222.99,224.47,210.297669872462,1125,0.0,1.0
2022-08-02,220.41,230.395,219.73,222.63,208.573841688004,5637,0.0,1.0
2022-08-01,221.1,224.78,220.46,222.05,208.030461064642,1545,0.0,1.0
2022-07-29,221.41,225.85,221.39,224.73,210.541254289831,4401,0.0,1.0
2022-07-28,218.04,219.96,218.04,219.96,206.072417094252,811,0.0,1.0
2022-07-27,220.0,220.02,220.0,220.0,206.109891620001,751,0.0,1.0
2022-07-26,215.88,215.88,215.88,215.88,202.250015467845,332,0.0,1.0
2022-07-25,220.07,220.07,220.07,220.07,206.175472040062,10409,0.0,1.0
2022-07-22,220.07,220.07,220.07,220.07,206.175472040062,389,0.0,1.0
2022-07-21,219.98,219.98,219.98,219.98,206.091154357127,551,0.0,1.0
2022-07-20,210.18,210.18,210.18,210.18,196.909895548599,427,0.0,1.0
2022-07-19,210.18,210.18,210.18,210.18,196.909895548599,19513,0.0,1.0
2022-07-18,212.85,212.85,210.18,210.18,196.909895548599,394,0.0,1.0
2022-07-15,204.23,210.32,204.23,210.32,197.041056388721,2045,0.0,1.0
2022-07-14,201.5,201.5,198.71,200.825,188.145540839031,2076,0.0,1.0
2022-07-13,200.0,202.07,197.73,202.07,189.311935452971,1666,0.0,1.0
2022-07-12,207.39,207.39,201.44,201.44,188.721711672423,1776,0.0,1.0
2022-07-11,202.47,204.99,202.47,204.99,192.047575832655,2678,0.0,1.0
2022-07-08,205.41,208.12,205.14,208.12,194.979957472521,1924,0.0,1.0
2022-07-07,204.75,207.0,204.23,207.0,193.930670751547,3062,0.0,1.0
2022-07-06,205.0,205.0,202.71,202.71,189.911527864956,22529,0.0,1.0
2022-07-05,203.5,207.07,203.5,207.0,193.930670751547,1480,0.0,1.0
2022-07-01,210.0,211.23,210.0,210.735,197.429854593368,852,0.0,1.0
