,MNK_Open,MNK_High,MNK_Low,MNK_Close,MNK_Adj Close,MNK_Volume,MNK_Dividend Amount,MNK_Split Coefficient
2023-11-14,0.07,0.131,0.07,0.12,0.12,39227,0.0,1.0
2023-11-13,0.07,0.07,0.07,0.07,0.07,256,0.0,1.0
2023-11-10,0.08,0.0925,0.08,0.0925,0.0925,1570,0.0,1.0
2023-11-09,0.061,0.1,0.061,0.093,0.093,12446,0.0,1.0
2023-11-08,0.09,0.0981,0.09,0.0981,0.0981,17836,0.0,1.0
2023-11-07,0.085,0.145,0.08,0.09,0.09,117854,0.0,1.0
2023-11-06,0.06,0.085,0.06,0.08,0.08,16813,0.0,1.0
2023-11-03,0.058,0.07,0.058,0.06,0.06,5003,0.0,1.0
2023-11-02,0.105,0.138,0.06,0.075,0.075,6768,0.0,1.0
2023-11-01,0.09,0.09,0.06,0.075,0.075,2120,0.0,1.0
2023-10-31,0.082,0.09,0.082,0.082,0.082,13474,0.0,1.0
2023-10-30,0.082,0.091,0.082,0.085,0.085,1371,0.0,1.0
2023-10-27,0.082,0.082,0.082,0.082,0.082,22254,0.0,1.0
2023-10-26,0.082,0.09095,0.082,0.082,0.082,43126,0.0,1.0
2023-10-25,0.081,0.0905,0.081,0.081,0.081,10667,0.0,1.0
2023-10-24,0.0645,0.143,0.055,0.08,0.08,182101,0.0,1.0
2023-10-23,0.05,0.065,0.05,0.06,0.06,7182,0.0,1.0
2023-10-20,0.05,0.07,0.05,0.058,0.058,20201,0.0,1.0
2023-10-19,0.06,0.0625,0.06,0.06,0.06,1651,0.0,1.0
2023-10-18,0.06,0.07,0.0475,0.07,0.07,348559,0.0,1.0
2023-10-17,0.0399,0.065,0.0365,0.05,0.05,50273,0.0,1.0
2023-10-16,0.04,0.04,0.035,0.03825,0.03825,47259,0.0,1.0
2023-10-13,0.05,0.05,0.0375,0.0375,0.0375,51172,0.0,1.0
2023-10-12,0.05,0.05,0.04,0.04505,0.04505,37331,0.0,1.0
2023-10-11,0.05,0.05,0.032,0.04553,0.04553,39947,0.0,1.0
2023-10-10,0.051,0.0705,0.0301,0.05,0.05,230933,0.0,1.0
2023-10-09,0.09,0.09,0.051,0.058,0.058,352420,0.0,1.0
2023-10-06,0.08,0.10375,0.052,0.07,0.07,493756,0.0,1.0
2023-10-05,0.06,0.08,0.05,0.08,0.08,106559,0.0,1.0
2023-10-04,0.0614,0.0862,0.026005,0.06,0.06,420714,0.0,1.0
2023-10-03,0.099,0.1,0.0502,0.07,0.07,16269,0.0,1.0
2023-10-02,0.0411,0.1,0.0411,0.09,0.09,82646,0.0,1.0
2023-09-29,0.08,0.08525,0.041,0.08525,0.08525,1924,0.0,1.0
2023-09-28,0.06,0.08,0.06,0.08,0.08,34314,0.0,1.0
2023-09-27,0.06,0.0601,0.06,0.06,0.06,29664,0.0,1.0
2023-09-26,0.07815,0.08,0.06,0.06,0.06,54349,0.0,1.0
2023-09-25,0.0576,0.085,0.0576,0.06,0.06,1603,0.0,1.0
2023-09-22,0.0766,0.085,0.055,0.085,0.085,80248,0.0,1.0
2023-09-21,0.1,0.1088,0.0766,0.0766,0.0766,155337,0.0,1.0
2023-09-20,0.1001,0.12,0.1001,0.1001,0.1001,6664,0.0,1.0
2023-09-19,0.1001,0.125,0.1,0.1,0.1,61402,0.0,1.0
2023-09-18,0.1107,0.11355,0.105,0.105,0.105,13553,0.0,1.0
2023-09-15,0.13,0.13,0.1036,0.11,0.11,13777,0.0,1.0
2023-09-14,0.1,0.13,0.0951,0.108,0.108,39027,0.0,1.0
2023-09-13,0.13,0.13,0.105,0.1051,0.1051,58034,0.0,1.0
2023-09-12,0.095,0.1125,0.0931,0.1,0.1,55108,0.0,1.0
2023-09-11,0.1,0.135,0.1,0.135,0.135,95852,0.0,1.0
2023-09-08,0.0901,0.14,0.09,0.13,0.13,376858,0.0,1.0
2023-09-07,0.1045,0.1045,0.0861,0.0909,0.0909,185492,0.0,1.0
2023-09-06,0.12,0.14,0.0856,0.11,0.11,142826,0.0,1.0
2023-09-05,0.15,0.15,0.12,0.12,0.12,98659,0.0,1.0
2023-09-01,0.1116,0.125,0.07,0.122,0.122,478197,0.0,1.0
2023-08-31,0.14,0.18,0.1102,0.114,0.114,654461,0.0,1.0
2023-08-30,0.1911,0.20005,0.135,0.135,0.135,1063219,0.0,1.0
2023-08-29,0.2205,0.299,0.161,0.21,0.21,1942830,0.0,1.0
2023-08-28,0.3402,0.3402,0.3402,0.3402,0.3402,1472,0.0,1.0
2023-08-25,0.4,0.4102,0.3,0.3402,0.3402,543145,0.0,1.0
2023-08-24,0.4694,0.4754,0.4001,0.4001,0.4001,478605,0.0,1.0
2023-08-23,0.4869,0.6,0.45,0.4754,0.4754,1881487,0.0,1.0
2023-08-22,0.5844,0.588,0.520101,0.588,0.588,218575,0.0,1.0
2023-08-21,0.5899,0.618,0.55,0.5595,0.5595,386416,0.0,1.0
2023-08-18,0.68,0.7,0.582,0.588,0.588,472218,0.0,1.0
2023-08-17,0.6,0.6934,0.57,0.6934,0.6934,616504,0.0,1.0
2023-08-16,0.7371,0.778,0.534901,0.5786,0.5786,1034403,0.0,1.0
2023-08-15,0.9674,0.988,0.72,0.735,0.735,1499763,0.0,1.0
2023-08-14,0.9097,1.1,0.9097,0.988,0.988,858909,0.0,1.0
2023-08-11,0.9739,0.990899,0.87,0.895,0.895,616623,0.0,1.0
2023-08-10,1.05,1.15,0.99,1.0,1.0,1405017,0.0,1.0
2023-08-09,1.34,1.4,0.88,0.9946,0.9946,3139419,0.0,1.0
2023-08-08,1.69,2.04,1.35,1.45,1.45,8844818,0.0,1.0
2023-08-07,1.49,1.93,1.45,1.81,1.81,12164186,0.0,1.0
2023-08-04,1.39,1.48,1.27,1.37,1.37,1620065,0.0,1.0
2023-08-03,1.47,1.589,1.22,1.3,1.3,2205344,0.0,1.0
2023-08-02,1.5,1.8,1.41,1.43,1.43,5138836,0.0,1.0
2023-08-01,1.45,1.92,1.39,1.47,1.47,9345849,0.0,1.0
2023-07-31,1.16,1.73,1.14,1.62,1.62,18861181,0.0,1.0
2023-07-28,1.42,1.49,1.02,1.08,1.08,6179851,0.0,1.0
2023-07-27,2.05,2.12,1.35,1.62,1.62,84522226,0.0,1.0
2023-07-26,0.4738,1.55,0.4098,1.26,1.26,43711515,0.0,1.0
2023-07-25,0.4427,0.4683,0.4323,0.44,0.44,101802,0.0,1.0
2023-07-24,0.48,0.5,0.448,0.4564,0.4564,345170,0.0,1.0
2023-07-21,0.569,0.597,0.4358,0.4659,0.4659,455833,0.0,1.0
2023-07-20,0.7,0.7,0.5524,0.5672,0.5672,513285,0.0,1.0
2023-07-19,0.715,0.733249,0.67,0.68,0.68,511625,0.0,1.0
2023-07-18,0.9,0.9594,0.7101,0.74,0.74,577161,0.0,1.0
2023-07-17,1.0,1.01,0.96,0.9638,0.9638,29965,0.0,1.0
2023-07-14,0.97,1.0039,0.91095,0.956,0.956,123034,0.0,1.0
2023-07-13,0.97,1.0,0.91,0.94,0.94,108855,0.0,1.0
2023-07-12,1.05,1.055,0.9686,1.0,1.0,131486,0.0,1.0
2023-07-11,1.06,1.06,1.01,1.0499,1.0499,50784,0.0,1.0
2023-07-10,1.06,1.12,0.99,1.06,1.06,194862,0.0,1.0
2023-07-07,1.14,1.15,1.0,1.06,1.06,330382,0.0,1.0
2023-07-06,1.13,1.15,1.04,1.08,1.08,243920,0.0,1.0
2023-07-05,1.21,1.21,1.1304,1.14,1.14,47946,0.0,1.0
2023-07-03,1.18,1.28,1.18,1.2,1.2,74088,0.0,1.0
2023-06-30,1.22,1.2306,1.15,1.18,1.18,35626,0.0,1.0
2023-06-29,1.29,1.319,1.2,1.23,1.23,80668,0.0,1.0
2023-06-28,1.34,1.5,1.25,1.25,1.25,93859,0.0,1.0
2023-06-27,1.31,1.43,1.26,1.35,1.35,114130,0.0,1.0
2023-06-26,1.3,1.46,1.26,1.34,1.34,390573,0.0,1.0
2023-06-23,1.31,1.33,1.1501,1.31,1.31,206744,0.0,1.0
2023-06-22,1.47,1.47,1.16,1.29,1.29,415469,0.0,1.0
2023-06-21,1.24,1.64,1.1801,1.53,1.53,1092252,0.0,1.0
2023-06-20,1.26,1.35,1.1201,1.3,1.3,786764,0.0,1.0
2023-06-16,0.9299,1.33,0.9133,1.28,1.28,3786101,0.0,1.0
2023-06-15,1.14,1.16,0.8166,0.87,0.87,1015331,0.0,1.0
2023-06-14,1.15,1.28,0.913,1.26,1.26,433174,0.0,1.0
2023-06-13,1.27,1.27,1.1,1.12,1.12,244582,0.0,1.0
2023-06-12,1.41,1.41,1.07,1.27,1.27,280191,0.0,1.0
2023-06-09,1.4,1.42,1.28,1.31,1.31,249649,0.0,1.0
2023-06-08,1.44,1.5,1.33,1.43,1.43,349353,0.0,1.0
2023-06-07,1.42,1.43,1.32,1.41,1.41,88215,0.0,1.0
2023-06-06,1.54,1.54,1.41,1.44,1.44,216216,0.0,1.0
2023-06-05,1.98,2.0,1.4,1.47,1.47,562900,0.0,1.0
2023-06-02,2.62,2.68,2.44,2.45,2.45,249647,0.0,1.0
2023-06-01,2.79,2.88,2.59,2.5901,2.5901,197418,0.0,1.0
2023-05-31,2.91,2.99,2.74,2.75,2.75,139367,0.0,1.0
2023-05-30,3.0,3.11,2.85,2.89,2.89,204823,0.0,1.0
2023-05-26,2.88,3.51,2.88,3.0,3.0,608179,0.0,1.0
2023-05-25,3.08,3.23,2.7,2.94,2.94,377606,0.0,1.0
2023-05-24,3.21,3.53,3.1,3.15,3.15,709880,0.0,1.0
2023-05-23,3.04,4.49,3.03,3.48,3.48,5620040,0.0,1.0
2023-05-22,4.42,4.8,3.18,3.36,3.36,5881493,0.0,1.0
2023-05-19,1.64,6.69,1.45,6.3,6.3,73118741,0.0,1.0
2023-05-18,2.1,2.1,1.13,1.13,1.13,177803,0.0,1.0
2023-05-17,1.89,1.9244,1.56,1.6,1.6,113171,0.0,1.0
2023-05-16,2.51,2.67,1.845,1.89,1.89,96019,0.0,1.0
2023-05-15,2.8001,3.1,2.76,2.76,2.76,59090,0.0,1.0
2023-05-12,3.3,3.3,2.76,2.76,2.76,19161,0.0,1.0
2023-05-11,4.05,4.05,3.07,3.17,3.17,102168,0.0,1.0
2023-05-10,4.1,4.71,3.91,3.91,3.91,19114,0.0,1.0
2023-05-09,5.5,5.55,4.03,4.03,4.03,9037,0.0,1.0
2023-05-08,5.31,5.6,5.145,5.46,5.46,8569,0.0,1.0
2023-05-05,5.55,5.8,4.92,5.11,5.11,27135,0.0,1.0
2023-05-04,5.6,5.86,5.2,5.43,5.43,5532,0.0,1.0
2023-05-03,5.93,5.93,5.46,5.46,5.46,3538,0.0,1.0
2023-05-02,5.41,5.99,5.31,5.355,5.355,18993,0.0,1.0
2023-05-01,6.0,6.0,5.5,5.5,5.5,4302,0.0,1.0
2023-04-28,5.84,5.97,5.32,5.84,5.84,10864,0.0,1.0
2023-04-27,5.58,5.58,5.31,5.31,5.31,2222,0.0,1.0
2023-04-26,5.91,5.91,5.62,5.69,5.69,24303,0.0,1.0
2023-04-25,6.13,6.17,5.73,5.73,5.73,6472,0.0,1.0
2023-04-24,6.0,6.15,5.9,5.979,5.979,8482,0.0,1.0
2023-04-21,5.89,6.19,5.89,6.0,6.0,12764,0.0,1.0
2023-04-20,5.79,6.06,5.51,5.81,5.81,10041,0.0,1.0
2023-04-19,5.8,6.2,5.8,6.01,6.01,34871,0.0,1.0
2023-04-18,5.47,5.99,5.29,5.95,5.95,22942,0.0,1.0
2023-04-17,6.05,6.05,5.34,5.34,5.34,9642,0.0,1.0
2023-04-14,5.0,5.5,4.8001,5.5,5.5,12915,0.0,1.0
2023-04-13,5.24,5.24,4.88,4.8835,4.8835,7373,0.0,1.0
2023-04-12,5.21,5.23,5.21,5.23,5.23,626,0.0,1.0
2023-04-11,4.69,5.48,4.69,5.24,5.24,6974,0.0,1.0
2023-04-10,5.59,5.59,4.61,4.68,4.68,47846,0.0,1.0
2023-04-06,5.97,5.98,5.55,5.55,5.55,57062,0.0,1.0
2023-04-05,7.1099,7.1099,5.31,5.96,5.96,152921,0.0,1.0
2023-04-04,7.42,7.42,6.5,6.96,6.96,354057,0.0,1.0
2023-04-03,7.785,7.785,7.31,7.43,7.43,10944,0.0,1.0
2023-03-31,7.2901,7.2901,7.2901,7.2901,7.2901,1096,0.0,1.0
2023-03-30,7.66,7.66,7.25,7.38,7.38,55977,0.0,1.0
2023-03-29,7.94,8.18,7.55,7.55,7.55,8008,0.0,1.0
2023-03-28,8.1,8.1,7.81,7.81,7.81,4460,0.0,1.0
2023-03-27,8.0,8.2731,7.8996,8.0,8.0,61233,0.0,1.0
2023-03-24,7.77,8.29,7.77,8.05,8.05,155732,0.0,1.0
2023-03-23,7.99,8.24,7.75,7.85,7.85,13083,0.0,1.0
2023-03-22,7.8,7.975,7.59,7.66,7.66,5367,0.0,1.0
2023-03-21,7.85,8.15,7.85,7.91,7.91,37899,0.0,1.0
2023-03-20,8.25,8.25,7.63,7.78,7.78,16406,0.0,1.0
2023-03-17,8.25,8.34,8.2,8.25,8.25,59854,0.0,1.0
2023-03-16,8.44,8.44,8.2,8.44,8.44,25267,0.0,1.0
2023-03-15,8.67,8.85,8.35,8.35,8.35,36011,0.0,1.0
2023-03-14,8.25,8.75,8.21,8.41,8.41,49072,0.0,1.0
2023-03-13,8.27,8.48,8.2,8.21,8.21,18068,0.0,1.0
2023-03-10,8.72,8.7499,8.25,8.27,8.27,13764,0.0,1.0
2023-03-09,8.9216,9.0918,8.53,8.54,8.54,64587,0.0,1.0
2023-03-08,9.55,9.55,8.8796,8.91,8.91,17154,0.0,1.0
2023-03-07,9.1,9.19,9.01,9.19,9.19,80020,0.0,1.0
2023-03-06,9.09,9.16,8.95,9.05,9.05,21270,0.0,1.0
2023-03-03,8.75,9.11,8.66,9.11,9.11,10945,0.0,1.0
2023-03-02,8.6392,9.12,8.5,8.72,8.72,23314,0.0,1.0
2023-03-01,9.1106,9.39,9.0,9.03,9.03,148306,0.0,1.0
2023-02-28,10.06,10.06,9.08,9.29,9.29,40101,0.0,1.0
2023-02-27,9.05,9.8455,9.05,9.49,9.49,88171,0.0,1.0
2023-02-24,9.45,9.4538,8.88,8.99,8.99,23423,0.0,1.0
2023-02-23,8.25,9.2,8.25,8.88,8.88,159249,0.0,1.0
2023-02-22,7.875,8.11,7.85,8.02,8.02,27042,0.0,1.0
2023-02-21,7.9,7.9501,7.625,7.6992,7.6992,27637,0.0,1.0
2023-02-17,7.77,7.97,7.7,7.85,7.85,15888,0.0,1.0
2023-02-16,8.46,8.46,7.67,7.67,7.67,24311,0.0,1.0
2023-02-15,7.7,7.85,7.7,7.795,7.795,15461,0.0,1.0
2023-02-14,7.85,7.85,7.65,7.65,7.65,12465,0.0,1.0
2023-02-13,7.79,8.0,7.68,7.88,7.88,20835,0.0,1.0
2023-02-10,7.58,7.85,7.39,7.79,7.79,108893,0.0,1.0
2023-02-09,7.64,7.75,7.45,7.55,7.55,27255,0.0,1.0
2023-02-08,7.7,7.7,7.34,7.35,7.35,48719,0.0,1.0
2023-02-07,7.53,7.7,7.49,7.54,7.54,18537,0.0,1.0
2023-02-06,7.38,7.55,7.33,7.55,7.55,25019,0.0,1.0
2023-02-03,7.79,7.79,7.36,7.47,7.47,36057,0.0,1.0
2023-02-02,7.42,7.91,7.42,7.74,7.74,104430,0.0,1.0
2023-02-01,7.36,7.745,7.35,7.45,7.45,48391,0.0,1.0
2023-01-31,7.34,7.98,7.31,7.5,7.5,46920,0.0,1.0
2023-01-30,7.52,7.53,7.35,7.35,7.35,78057,0.0,1.0
2023-01-27,7.64,7.66,7.54,7.6,7.6,18445,0.0,1.0
2023-01-26,7.94,8.0,7.56,7.74,7.74,39508,0.0,1.0
2023-01-25,7.63,7.9486,7.6,7.86,7.86,5328,0.0,1.0
2023-01-24,7.8,7.84,7.48,7.74,7.74,9953,0.0,1.0
2023-01-23,7.7,7.99,7.61,7.7,7.7,15031,0.0,1.0
2023-01-20,7.74,7.97,7.67,7.72,7.72,16966,0.0,1.0
2023-01-19,7.62,7.96,7.62,7.62,7.62,13141,0.0,1.0
2023-01-18,7.99,8.25,7.72,7.75,7.75,139114,0.0,1.0
2023-01-17,8.0399,8.84,7.8101,8.0,8.0,163438,0.0,1.0
2023-01-13,7.64,8.27,7.5,7.8,7.8,170417,0.0,1.0
2023-01-12,7.63,7.9,7.54,7.78,7.78,79271,0.0,1.0
2023-01-11,7.66,8.0761,7.62,7.75,7.75,38079,0.0,1.0
2023-01-10,8.06,8.06,7.7,7.7,7.7,130040,0.0,1.0
2023-01-09,7.53,8.23,7.49,8.17,8.17,66108,0.0,1.0
2023-01-06,7.65,7.65,7.38,7.6,7.6,38933,0.0,1.0
2023-01-05,7.8,7.8175,7.5645,7.68,7.68,23621,0.0,1.0
2023-01-04,7.8,7.9,7.55,7.8,7.8,29487,0.0,1.0
2023-01-03,7.99,7.99,7.74,7.77,7.77,2105,0.0,1.0
2022-12-30,7.9,7.9,7.55,7.75,7.75,148995,0.0,1.0
2022-12-29,8.0,8.05,7.825,8.05,8.05,186081,0.0,1.0
2022-12-28,8.35,8.35,7.94,8.08,8.08,27803,0.0,1.0
2022-12-27,8.6,8.71,8.23,8.36,8.36,28372,0.0,1.0
2022-12-23,8.86,8.9182,8.52,8.61,8.61,44685,0.0,1.0
2022-12-22,8.98,9.27,8.88,8.93,8.93,5498,0.0,1.0
2022-12-21,9.21,9.48,8.86,8.86,8.86,28535,0.0,1.0
2022-12-20,9.26,9.26,8.95,9.18,9.18,155711,0.0,1.0
2022-12-19,9.31,9.62,9.03,9.27,9.27,194187,0.0,1.0
2022-12-16,9.45,9.45,8.94,9.28,9.28,873498,0.0,1.0
2022-12-15,9.39,9.86,9.18,9.46,9.46,233981,0.0,1.0
2022-12-14,9.18,9.49,9.16,9.49,9.49,140169,0.0,1.0
2022-12-13,9.41,9.525,9.32,9.39,9.39,23901,0.0,1.0
2022-12-12,9.88,9.95,9.145,9.29,9.29,119279,0.0,1.0
2022-12-09,10.26,10.26,8.96,9.69,9.69,138299,0.0,1.0
2022-12-08,10.4,10.4,9.475,9.87,9.87,84383,0.0,1.0
2022-12-07,10.47,10.5,9.9,10.04,10.04,70764,0.0,1.0
2022-12-06,10.5,10.5,10.25,10.31,10.31,225048,0.0,1.0
2022-12-05,11.0,11.0,10.02,10.45,10.45,182758,0.0,1.0
2022-12-02,10.52,10.57,10.45,10.5,10.5,15730,0.0,1.0
2022-12-01,10.7,10.9,10.65,10.7,10.7,33173,0.0,1.0
2022-11-30,11.0,11.0,10.75,10.825,10.825,26326,0.0,1.0
2022-11-29,11.06,11.13,10.75,11.0,11.0,29274,0.0,1.0
2022-11-28,11.3,11.3,11.1,11.1,11.1,9679,0.0,1.0
2022-11-25,11.03,11.4,11.0,11.4,11.4,7336,0.0,1.0
2022-11-23,11.26,11.34,10.99,11.03,11.03,79768,0.0,1.0
2022-11-22,11.25,11.4,11.2,11.28,11.28,21170,0.0,1.0
2022-11-21,11.27,11.5,11.0,11.11,11.11,14679,0.0,1.0
2022-11-18,11.7,11.83,11.4,11.4,11.4,5729,0.0,1.0
2022-11-17,11.38,11.38,11.3799,11.3799,11.3799,1418,0.0,1.0
2022-11-16,11.625,12.15,11.25,11.435,11.435,80616,0.0,1.0
2022-11-15,11.6,12.07,11.49,11.85,11.85,4856,0.0,1.0
2022-11-14,12.73,13.0,12.0,12.0,12.0,11860,0.0,1.0
2022-11-11,12.59,12.59,12.1501,12.1501,12.1501,1076,0.0,1.0
2022-11-10,13.7,13.78,12.31,12.31,12.31,49000,0.0,1.0
2022-11-09,14.0,14.0,13.245,13.245,13.245,5888,0.0,1.0
2022-11-08,14.97,15.12,14.53,14.55,14.55,2768,0.0,1.0
2022-11-07,14.85,14.92,14.15,14.4,14.4,166105,0.0,1.0
2022-11-04,14.95,15.32,14.19,14.5,14.5,13157,0.0,1.0
2022-11-03,14.5,15.0,14.09,14.95,14.95,9194,0.0,1.0
2022-11-02,14.435,15.0,14.435,14.65,14.65,14293,0.0,1.0
2022-11-01,15.0,15.25,14.87,14.91,14.91,3313,0.0,1.0
2022-10-31,15.01,16.0,15.0001,15.16,15.16,40296,0.0,1.0
2022-10-28,15.56,15.9,14.04,15.49,15.49,10075,0.0,1.0
2022-10-27,17.0,18.1,11.88,15.9,15.9,102958,0.0,1.0
2022-10-26,17.0,17.5,15.26,17.25,17.25,1437,0.0,1.0
2022-10-25,16.5,16.5,16.5,16.5,16.5,502,0.0,1.0
2022-10-24,16.5,16.5,16.25,16.25,16.25,2260,0.0,1.0
2022-10-21,16.5,16.5,16.5,16.5,16.5,20,0.0,1.0
2022-10-20,16.5,16.5,16.5,16.5,16.5,0,0.0,1.0
2022-10-19,16.0,16.5,16.0,16.5,16.5,224,0.0,1.0
2022-10-18,16.5,16.5,16.5,16.5,16.5,8,0.0,1.0
2022-10-17,15.1,16.5,15.1,16.5,16.5,2100,0.0,1.0
2022-10-14,16.5,16.5,16.5,16.5,16.5,4,0.0,1.0
2022-10-13,16.5,16.5,16.5,16.5,16.5,100,0.0,1.0
2022-10-12,17.0,17.0,17.0,17.0,17.0,0,0.0,1.0
2022-10-11,17.0,17.0,17.0,17.0,17.0,20,0.0,1.0
2022-10-10,17.0,17.0,17.0,17.0,17.0,0,0.0,1.0
2022-10-07,17.0,17.0,17.0,17.0,17.0,0,0.0,1.0
2022-10-06,17.0,17.0,17.0,17.0,17.0,3,0.0,1.0
2022-10-05,17.0,17.0,17.0,17.0,17.0,3,0.0,1.0
2022-10-04,17.0,17.0,17.0,17.0,17.0,58,0.0,1.0
2022-10-03,17.0,17.0,17.0,17.0,17.0,0,0.0,1.0
2022-09-30,15.75,17.5,15.75,17.0,17.0,5905,0.0,1.0
2022-09-29,17.0,17.9,16.5,16.5,16.5,1013,0.0,1.0
2022-09-28,15.0,15.0,15.0,15.0,15.0,300,0.0,1.0
2022-09-27,17.88,17.88,11.75,15.0,15.0,645,0.0,1.0
2022-09-26,17.94,18.0,14.01,18.0,18.0,396,0.0,1.0
2022-09-23,17.94,17.94,17.94,17.94,17.94,11,0.0,1.0
2022-09-22,17.94,17.94,17.94,17.94,17.94,9,0.0,1.0
2022-09-21,17.94,17.94,17.94,17.94,17.94,125,0.0,1.0
2022-09-20,17.95,17.95,17.95,17.95,17.95,8,0.0,1.0
2022-09-19,17.95,17.95,17.95,17.95,17.95,10,0.0,1.0
2022-09-16,17.95,17.95,17.95,17.95,17.95,39690,0.0,1.0
2022-09-15,15.5,18.0,15.5,17.95,17.95,28683,0.0,1.0
2022-09-14,15.0,15.0,14.0,14.0,14.0,1800,0.0,1.0
2022-09-13,13.17,13.17,13.17,13.17,13.17,7,0.0,1.0
2022-09-12,13.17,13.17,13.17,13.17,13.17,200,0.0,1.0
2022-09-09,11.35,11.35,11.35,11.35,11.35,5,0.0,1.0
2022-09-08,11.35,11.35,11.35,11.35,11.35,3,0.0,1.0
2022-09-07,11.35,11.35,11.35,11.35,11.35,0,0.0,1.0
2022-09-06,11.35,11.35,11.35,11.35,11.35,17,0.0,1.0
2022-09-02,11.35,11.35,11.35,11.35,11.35,0,0.0,1.0
2022-09-01,11.35,11.35,11.35,11.35,11.35,17,0.0,1.0
2022-08-31,11.35,11.35,11.35,11.35,11.35,38,0.0,1.0
2022-08-30,11.35,11.35,11.35,11.35,11.35,1,0.0,1.0
2022-08-29,11.35,11.35,11.35,11.35,11.35,18,0.0,1.0
2022-08-26,11.35,11.35,11.35,11.35,11.35,1,0.0,1.0
2022-08-25,11.35,11.35,11.35,11.35,11.35,0,0.0,1.0
2022-08-24,11.35,11.35,11.35,11.35,11.35,1,0.0,1.0
2022-08-23,11.35,11.35,11.35,11.35,11.35,3,0.0,1.0
2022-08-22,11.35,11.35,11.35,11.35,11.35,5,0.0,1.0
2022-08-19,11.35,11.35,11.35,11.35,11.35,0,0.0,1.0
2022-08-18,11.35,11.35,11.35,11.35,11.35,28176,0.0,1.0
2022-08-17,11.4,11.4,11.35,11.35,11.35,66107,0.0,1.0
2022-08-16,11.3,11.4,11.3,11.4,11.4,49076,0.0,1.0
2022-08-15,11.35,11.45,11.25,11.35,11.35,50504,0.0,1.0
2022-08-12,12.0,12.1,11.25,11.3,11.3,71139,0.0,1.0
2022-08-11,15.0,15.1,11.995,12.0,12.0,47200,0.0,1.0
2022-08-10,16.8,17.0,16.8,17.0,17.0,2234,0.0,1.0
2022-08-09,17.0,17.0,17.0,17.0,17.0,19,0.0,1.0
2022-08-08,17.0,17.0,17.0,17.0,17.0,841,0.0,1.0
2022-08-05,17.0,17.0,17.0,17.0,17.0,47,0.0,1.0
2022-08-04,16.4,17.0,16.0,17.0,17.0,27332,0.0,1.0
2022-08-03,16.5,16.79,16.0,16.65,16.65,35142,0.0,1.0
2022-08-02,16.99,16.99,16.99,16.99,16.99,105,0.0,1.0
2022-08-01,17.5,17.5,17.5,17.5,17.5,5,0.0,1.0
2022-07-29,17.99,17.99,16.5,17.5,17.5,83415,0.0,1.0
2022-07-28,15.55,16.05,15.5,16.0,16.0,49569,0.0,1.0
2022-07-27,15.5,15.55,15.5,15.55,15.55,15005,0.0,1.0
2022-07-26,15.5,15.5,15.5,15.5,15.5,809,0.0,1.0
2022-07-25,16.0,16.5,15.5,16.0,16.0,18918,0.0,1.0
2022-07-22,16.5,16.5,15.5,16.0,16.0,207881,0.0,1.0
2022-07-21,17.0,17.25,17.0,17.0,17.0,2787,0.0,1.0
2022-07-20,19.0,19.0,17.5,17.8,17.8,52241,0.0,1.0
2022-07-19,19.0,19.0,19.0,19.0,19.0,1104,0.0,1.0
2022-07-18,20.1,20.1,19.0,19.0,19.0,22473,0.0,1.0
2022-07-15,20.5,20.5,20.25,20.5,20.5,54796,0.0,1.0
2022-07-14,21.0,21.0,20.6,20.66,20.66,86163,0.0,1.0
2022-07-13,21.0,21.0,20.5,20.75,20.75,34717,0.0,1.0
2022-07-12,22.15,22.75,21.1,21.1,21.1,29494,0.0,1.0
2022-07-11,23.5,23.5,22.5,22.75,22.75,3253,0.0,1.0
2022-07-08,22.5,23.8,22.5,23.8,23.8,13224,0.0,1.0
2022-07-07,23.9,23.9,23.8,23.88,23.88,12165,0.0,1.0
2022-07-06,24.0,24.0,23.8,23.95,23.95,64029,0.0,1.0
2022-07-05,24.4,24.4,24.4,24.4,24.4,0,0.0,1.0
2022-07-01,24.4,24.4,24.4,24.4,24.4,269,0.0,1.0
2022-06-30,24.25,24.9,24.25,24.835,24.835,14316,0.0,1.0
2022-06-29,27.0,27.0,24.5,24.5,24.5,364272,0.0,1.0
2022-06-28,29.0,31.0,25.5,26.75,26.75,19443,0.0,1.0
2022-06-27,25.5,26.0,25.5,25.5,25.5,17708,0.0,1.0
2022-06-24,26.0,29.99,25.25,25.25,25.25,26639,0.0,1.0
2022-06-23,24.0,24.75,24.0,24.75,24.75,40726,0.0,1.0
2022-06-22,23.5,24.5,23.0,24.0,24.0,63092,0.0,1.0
2022-06-21,18.4,31.0,18.4,23.99,23.99,48091,0.0,1.0
