,PAY_Open,PAY_High,PAY_Low,PAY_Close,PAY_Adj Close,PAY_Volume,PAY_Dividend Amount,PAY_Split Coefficient
2023-09-01,15.19,15.35,14.8,15.34,15.34,96879,0.0,1.0
2023-08-31,14.99,15.06,14.74,15.06,15.06,136351,0.0,1.0
2023-08-30,14.79,15.0,14.735,14.96,14.96,151879,0.0,1.0
2023-08-29,14.46,14.92,14.08,14.79,14.79,156332,0.0,1.0
2023-08-28,13.91,14.58,13.64,14.46,14.46,106796,0.0,1.0
2023-08-25,13.7,14.17,13.32,13.83,13.83,74171,0.0,1.0
2023-08-24,14.03,14.04,13.41,13.68,13.68,56856,0.0,1.0
2023-08-23,14.06,14.2,13.765,14.07,14.07,61491,0.0,1.0
2023-08-22,13.88,14.3,13.58,14.1,14.1,46212,0.0,1.0
2023-08-21,13.83,13.95,13.16,13.69,13.69,53869,0.0,1.0
2023-08-18,13.36,14.0,13.36,13.98,13.98,33351,0.0,1.0
2023-08-17,13.29,13.83,13.09,13.54,13.54,71873,0.0,1.0
2023-08-16,13.61,14.0354,13.15,13.25,13.25,99967,0.0,1.0
2023-08-15,13.25,14.04,13.15,13.64,13.64,103245,0.0,1.0
2023-08-14,14.69,14.84,12.98,13.61,13.61,178216,0.0,1.0
2023-08-11,14.27,14.7116,13.9856,14.61,14.61,48238,0.0,1.0
2023-08-10,15.15,15.29,14.19,14.36,14.36,101119,0.0,1.0
2023-08-09,14.0,15.39,13.81,14.99,14.99,265811,0.0,1.0
2023-08-08,12.93,15.0499,12.75,14.04,14.04,887248,0.0,1.0
2023-08-07,11.06,11.1,10.5052,10.7,10.7,58926,0.0,1.0
2023-08-04,11.0801,11.17,10.85,11.02,11.02,40657,0.0,1.0
2023-08-03,10.69,11.1,10.4975,11.05,11.05,51838,0.0,1.0
2023-08-02,10.9,10.97,10.45,10.8,10.8,63381,0.0,1.0
2023-08-01,11.21,11.4,10.66,10.99,10.99,59615,0.0,1.0
2023-07-31,11.0,11.4,10.97,11.29,11.29,25248,0.0,1.0
2023-07-28,11.19,11.22,10.64,10.85,10.85,63066,0.0,1.0
2023-07-27,11.13,11.13,10.83,11.01,11.01,40208,0.0,1.0
2023-07-26,10.57,11.09,10.4006,10.99,10.99,67414,0.0,1.0
2023-07-25,10.69,10.71,10.23,10.59,10.59,51427,0.0,1.0
2023-07-24,10.8,10.88,10.51,10.63,10.63,11588,0.0,1.0
2023-07-21,11.02,11.02,10.6,10.77,10.77,16168,0.0,1.0
2023-07-20,10.91,11.09,10.84,10.93,10.93,25731,0.0,1.0
2023-07-19,10.9,11.42,10.71,10.92,10.92,23018,0.0,1.0
2023-07-18,10.78,10.95,10.72,10.84,10.84,13649,0.0,1.0
2023-07-17,10.77,11.01,10.52,10.76,10.76,23264,0.0,1.0
2023-07-14,10.85,10.85,10.63,10.79,10.79,46959,0.0,1.0
2023-07-13,10.22,10.85,10.18,10.75,10.75,53165,0.0,1.0
2023-07-12,10.16,10.21,9.95,10.12,10.12,29211,0.0,1.0
2023-07-11,10.0,10.18,9.86,9.92,9.92,23386,0.0,1.0
2023-07-10,9.95,10.22,9.89,9.95,9.95,19706,0.0,1.0
2023-07-07,9.7,10.09,9.7,9.93,9.93,21357,0.0,1.0
2023-07-06,9.78,9.9083,9.6,9.68,9.68,48982,0.0,1.0
2023-07-05,10.25,10.29,9.93,9.96,9.96,62392,0.0,1.0
2023-07-03,10.64,10.7268,10.4,10.42,10.42,16553,0.0,1.0
2023-06-30,10.43,10.68,10.3287,10.56,10.56,36177,0.0,1.0
2023-06-29,10.43,10.695,10.39,10.39,10.39,33119,0.0,1.0
2023-06-28,10.48,10.493,10.31,10.4,10.4,37418,0.0,1.0
2023-06-27,10.34,10.725,10.12,10.5,10.5,69468,0.0,1.0
2023-06-26,10.55,10.74,10.29,10.34,10.34,67112,0.0,1.0
2023-06-23,10.79,10.97,10.405,10.48,10.48,133375,0.0,1.0
2023-06-22,11.1,11.47,10.86,11.0,11.0,84010,0.0,1.0
2023-06-21,10.98,11.3697,10.91,11.24,11.24,130258,0.0,1.0
2023-06-20,10.49,11.24,10.49,11.19,11.19,154384,0.0,1.0
2023-06-16,10.26,10.55,10.03,10.53,10.53,271404,0.0,1.0
2023-06-15,10.43,10.595,10.0,10.19,10.19,65509,0.0,1.0
2023-06-14,10.19,10.48,10.08,10.42,10.42,67836,0.0,1.0
2023-06-13,10.04,10.32,10.0,10.22,10.22,60523,0.0,1.0
2023-06-12,9.99,10.22,9.9,10.0,10.0,70486,0.0,1.0
2023-06-09,9.87,10.11,9.8,10.01,10.01,46034,0.0,1.0
2023-06-08,10.03,10.12,9.76,9.9,9.9,69703,0.0,1.0
2023-06-07,10.0,10.2258,9.85,10.12,10.12,99965,0.0,1.0
2023-06-06,9.53,10.14,9.53,9.85,9.85,28241,0.0,1.0
2023-06-05,10.53,10.59,9.33,9.61,9.61,68253,0.0,1.0
2023-06-02,10.25,10.58,10.1271,10.43,10.43,82537,0.0,1.0
2023-06-01,9.46,10.21,9.45,10.09,10.09,108139,0.0,1.0
2023-05-31,9.32,9.635,9.015,9.4,9.4,362025,0.0,1.0
2023-05-30,9.78,9.81,8.86,9.38,9.38,98797,0.0,1.0
2023-05-26,9.79,9.9442,9.71,9.71,9.71,76013,0.0,1.0
2023-05-25,10.1,10.1,9.67,9.81,9.81,83884,0.0,1.0
2023-05-24,9.79,10.07,9.76,10.01,10.01,146304,0.0,1.0
2023-05-23,9.91,10.0683,9.88,9.97,9.97,41816,0.0,1.0
2023-05-22,9.78,10.035,9.63,9.94,9.94,81735,0.0,1.0
2023-05-19,9.72,10.12,9.63,9.91,9.91,36284,0.0,1.0
2023-05-18,9.36,9.695,9.36,9.58,9.58,38238,0.0,1.0
2023-05-17,9.23,9.48,9.1385,9.41,9.41,32541,0.0,1.0
2023-05-16,9.27,9.63,9.075,9.1,9.1,101894,0.0,1.0
2023-05-15,9.07,9.28,9.0,9.21,9.21,36959,0.0,1.0
2023-05-12,9.27,9.285,8.98,9.0,9.0,31580,0.0,1.0
2023-05-11,9.19,9.4685,8.9415,9.2,9.2,53012,0.0,1.0
2023-05-10,9.2,9.5,9.14,9.28,9.28,82274,0.0,1.0
2023-05-09,8.61,9.31,8.61,9.06,9.06,251576,0.0,1.0
2023-05-08,8.38,8.38,7.94,8.04,8.04,110801,0.0,1.0
2023-05-05,8.07,8.49,8.07,8.18,8.18,42751,0.0,1.0
2023-05-04,7.92,8.05,7.755,7.91,7.91,53780,0.0,1.0
2023-05-03,8.14,8.2,7.855,7.95,7.95,41082,0.0,1.0
2023-05-02,8.22,8.33,7.9,8.09,8.09,75806,0.0,1.0
2023-05-01,8.23,8.55,8.195,8.36,8.36,52960,0.0,1.0
2023-04-28,8.16,8.36,8.03,8.23,8.23,32304,0.0,1.0
2023-04-27,8.0,8.14,7.96,8.14,8.14,22823,0.0,1.0
2023-04-26,8.12,8.36,7.82,7.92,7.92,48901,0.0,1.0
2023-04-25,7.98,8.23,7.98,8.1,8.1,75651,0.0,1.0
2023-04-24,8.24,8.24,8.01,8.11,8.11,21805,0.0,1.0
2023-04-21,8.19,8.255,8.025,8.18,8.18,52669,0.0,1.0
2023-04-20,8.02,8.25,7.81,8.18,8.18,36338,0.0,1.0
2023-04-19,8.68,8.68,8.22,8.29,8.29,20270,0.0,1.0
2023-04-18,8.89,8.92,8.655,8.71,8.71,63444,0.0,1.0
2023-04-17,8.79,8.87,8.7,8.81,8.81,22470,0.0,1.0
2023-04-14,8.98,9.06,8.72,8.87,8.87,21264,0.0,1.0
2023-04-13,8.77,8.95,8.77,8.91,8.91,20208,0.0,1.0
2023-04-12,8.96,8.96,8.57,8.72,8.72,21772,0.0,1.0
2023-04-11,8.75,8.87,8.64,8.81,8.81,24005,0.0,1.0
2023-04-10,8.51,8.77,8.48,8.73,8.73,38016,0.0,1.0
2023-04-06,8.56,8.57,8.41,8.55,8.55,18042,0.0,1.0
2023-04-05,8.54,8.55,8.21,8.55,8.55,34829,0.0,1.0
2023-04-04,8.97,8.9982,8.55,8.6,8.6,21460,0.0,1.0
2023-04-03,8.8,9.015,8.76,8.96,8.96,40405,0.0,1.0
2023-03-31,8.55,9.025,8.51,8.86,8.86,94790,0.0,1.0
2023-03-30,8.66,8.66,8.4,8.55,8.55,35505,0.0,1.0
2023-03-29,8.45,8.63,8.4101,8.5,8.5,30840,0.0,1.0
2023-03-28,8.07,8.62,8.07,8.43,8.43,80652,0.0,1.0
2023-03-27,8.11,8.17,7.98,8.16,8.16,126071,0.0,1.0
2023-03-24,7.86,8.005,7.86,7.98,7.98,64029,0.0,1.0
2023-03-23,7.82,8.0,7.795,7.99,7.99,71731,0.0,1.0
2023-03-22,7.99,8.055,7.735,7.75,7.75,36741,0.0,1.0
2023-03-21,7.75,8.04,7.63,8.01,8.01,41726,0.0,1.0
2023-03-20,7.69,7.82,7.52,7.63,7.63,32594,0.0,1.0
2023-03-17,7.81,7.86,7.58,7.66,7.66,76360,0.0,1.0
2023-03-16,7.76,7.91,7.715,7.88,7.88,46272,0.0,1.0
2023-03-15,7.44,7.84,7.38,7.83,7.83,76581,0.0,1.0
2023-03-14,7.44,7.84,7.26,7.68,7.68,103116,0.0,1.0
2023-03-13,7.34,7.54,7.07,7.29,7.29,104344,0.0,1.0
2023-03-10,8.06,8.06,7.5,7.5,7.5,163849,0.0,1.0
2023-03-09,8.44,8.5,8.13,8.14,8.14,31945,0.0,1.0
2023-03-08,8.55,8.6,8.27,8.46,8.46,34073,0.0,1.0
2023-03-07,8.42,8.77,8.36,8.51,8.51,117197,0.0,1.0
2023-03-06,8.63,8.63,8.26,8.42,8.42,76593,0.0,1.0
2023-03-03,8.94,9.02,8.62,8.68,8.68,38000,0.0,1.0
2023-03-02,8.82,8.97,8.76,8.88,8.88,179831,0.0,1.0
2023-03-01,8.93,9.03,8.82,8.93,8.93,68526,0.0,1.0
2023-02-28,8.78,9.22,8.78,8.95,8.95,106021,0.0,1.0
2023-02-27,8.96,9.04,8.7,8.81,8.81,101027,0.0,1.0
2023-02-24,9.7,9.74,8.67,8.83,8.83,366080,0.0,1.0
2023-02-23,8.09,8.2694,7.9,8.06,8.06,114458,0.0,1.0
2023-02-22,8.05,8.22,7.985,8.0,8.0,64553,0.0,1.0
2023-02-21,8.31,8.31,7.93,8.0,8.0,137439,0.0,1.0
2023-02-17,9.21,9.21,8.475,8.51,8.51,62401,0.0,1.0
2023-02-16,8.98,9.36,8.97,9.26,9.26,91411,0.0,1.0
2023-02-15,8.86,9.245,8.84,9.18,9.18,49945,0.0,1.0
2023-02-14,8.71,9.03,8.71,8.91,8.91,38854,0.0,1.0
2023-02-13,8.77,8.93,8.55,8.86,8.86,52176,0.0,1.0
2023-02-10,8.9,8.985,8.6,8.75,8.75,79144,0.0,1.0
2023-02-09,9.16,9.2,8.95,8.95,8.95,61120,0.0,1.0
2023-02-08,9.07,9.25,8.97,9.04,9.04,54727,0.0,1.0
2023-02-07,9.26,9.34,8.85,9.15,9.15,115907,0.0,1.0
2023-02-06,9.26,9.56,9.22,9.34,9.34,92811,0.0,1.0
2023-02-03,9.36,9.5611,9.29,9.39,9.39,86729,0.0,1.0
2023-02-02,9.36,9.705,9.36,9.53,9.53,113141,0.0,1.0
2023-02-01,8.7,9.205,8.7,9.14,9.14,56142,0.0,1.0
2023-01-31,8.6,8.87,8.565,8.69,8.69,138060,0.0,1.0
2023-01-30,8.74,8.86,8.58,8.6,8.6,54310,0.0,1.0
2023-01-27,8.77,8.96,8.7,8.89,8.89,58661,0.0,1.0
2023-01-26,8.62,8.77,8.59,8.75,8.75,61315,0.0,1.0
2023-01-25,8.45,8.61,8.2,8.53,8.53,49760,0.0,1.0
2023-01-24,8.67,8.77,8.56,8.65,8.65,63830,0.0,1.0
2023-01-23,8.74,8.82,8.57,8.75,8.75,95995,0.0,1.0
2023-01-20,8.42,8.77,8.345,8.74,8.74,173176,0.0,1.0
2023-01-19,8.38,8.69,8.18,8.33,8.33,156371,0.0,1.0
2023-01-18,8.65,8.98,8.41,8.44,8.44,174995,0.0,1.0
2023-01-17,8.08,8.61,7.94,8.57,8.57,236926,0.0,1.0
2023-01-13,7.8,8.15,7.8,8.12,8.12,92373,0.0,1.0
2023-01-12,7.97,8.11,7.72,8.09,8.09,113335,0.0,1.0
2023-01-11,7.96,8.27,7.8501,7.9,7.9,140253,0.0,1.0
2023-01-10,7.8,7.97,7.6,7.91,7.91,137044,0.0,1.0
2023-01-09,7.3,8.18,7.02,7.79,7.79,304714,0.0,1.0
2023-01-06,8.05,8.08,7.78,7.98,7.98,67982,0.0,1.0
2023-01-05,7.9,8.12,7.79,7.96,7.96,79342,0.0,1.0
2023-01-04,8.28,8.44,7.975,8.07,8.07,85260,0.0,1.0
2023-01-03,8.13,8.47,8.06,8.18,8.18,140445,0.0,1.0
2022-12-30,7.66,8.3,7.66,8.01,8.01,269327,0.0,1.0
2022-12-29,7.01,7.93,7.01,7.88,7.88,219968,0.0,1.0
2022-12-28,7.05,7.32,7.0,7.0,7.0,98055,0.0,1.0
2022-12-27,7.1,7.2,6.75,7.04,7.04,226678,0.0,1.0
2022-12-23,7.43,7.43,7.13,7.16,7.16,211512,0.0,1.0
2022-12-22,7.72,7.72,7.19,7.37,7.37,268538,0.0,1.0
2022-12-21,8.04,8.06,7.82,7.82,7.82,205040,0.0,1.0
2022-12-20,7.55,7.98,7.51,7.8,7.8,146203,0.0,1.0
2022-12-19,8.0,8.0,7.47,7.67,7.67,244383,0.0,1.0
2022-12-16,8.07,8.22,8.02,8.02,8.02,258807,0.0,1.0
2022-12-15,8.4,8.6,8.08,8.24,8.24,307859,0.0,1.0
2022-12-14,9.25,9.55,8.65,8.65,8.65,269035,0.0,1.0
2022-12-13,9.77,9.98,9.32,9.34,9.34,139242,0.0,1.0
2022-12-12,9.41,9.47,9.101,9.38,9.38,276435,0.0,1.0
2022-12-09,9.33,9.74,9.315,9.43,9.43,76646,0.0,1.0
2022-12-08,9.33,9.54,9.0969,9.4,9.4,121509,0.0,1.0
2022-12-07,9.1,9.39,8.97,9.22,9.22,73366,0.0,1.0
2022-12-06,9.5,9.5,9.04,9.1,9.1,77262,0.0,1.0
2022-12-05,9.88,9.88,9.39,9.5,9.5,111606,0.0,1.0
2022-12-02,9.66,10.21,9.66,9.93,9.93,144415,0.0,1.0
2022-12-01,10.13,10.42,9.83,9.93,9.93,192435,0.0,1.0
2022-11-30,9.49,10.66,9.49,10.14,10.14,523753,0.0,1.0
2022-11-29,9.41,9.62,9.33,9.46,9.46,150377,0.0,1.0
2022-11-28,9.74,9.93,9.34,9.43,9.43,196606,0.0,1.0
2022-11-25,9.63,10.005,9.63,9.9,9.9,34053,0.0,1.0
2022-11-23,9.55,9.8,9.2,9.72,9.72,175593,0.0,1.0
2022-11-22,9.64,9.78,9.4183,9.59,9.59,256867,0.0,1.0
2022-11-21,9.73,9.76,8.82,9.59,9.59,843379,0.0,1.0
2022-11-18,10.04,10.36,9.74,9.75,9.75,424523,0.0,1.0
2022-11-17,10.5,10.63,9.93,9.94,9.94,608283,0.0,1.0
2022-11-16,11.69,11.69,10.77,10.84,10.84,234992,0.0,1.0
2022-11-15,11.72,11.98,11.46,11.77,11.77,240116,0.0,1.0
2022-11-14,12.41,12.41,11.27,11.55,11.55,329054,0.0,1.0
2022-11-11,11.6,12.89,11.53,12.47,12.47,349605,0.0,1.0
2022-11-10,9.73,12.04,9.73,11.68,11.68,461292,0.0,1.0
2022-11-09,9.75,9.75,8.83,8.85,8.85,717423,0.0,1.0
2022-11-08,9.73,9.865,9.52,9.77,9.77,750601,0.0,1.0
2022-11-07,10.1,10.1,9.62,9.76,9.76,108731,0.0,1.0
2022-11-04,10.45,10.47,9.96,10.01,10.01,219385,0.0,1.0
2022-11-03,10.22,10.5,10.15,10.35,10.35,240485,0.0,1.0
2022-11-02,10.4,10.7,10.18,10.45,10.45,268425,0.0,1.0
2022-11-01,10.53,10.54,10.2,10.45,10.45,100966,0.0,1.0
2022-10-31,10.65,10.85,10.37,10.4,10.4,77209,0.0,1.0
2022-10-28,10.74,10.89,10.62,10.69,10.69,43248,0.0,1.0
2022-10-27,10.97,11.2309,10.69,10.7,10.7,107314,0.0,1.0
2022-10-26,10.99,11.369,10.79,10.86,10.86,104723,0.0,1.0
2022-10-25,10.46,11.05,10.46,11.05,11.05,60264,0.0,1.0
2022-10-24,10.46,10.585,9.95,10.43,10.43,76710,0.0,1.0
2022-10-21,10.44,10.64,10.125,10.52,10.52,65575,0.0,1.0
2022-10-20,10.4,10.86,10.3,10.42,10.42,86120,0.0,1.0
2022-10-19,10.95,10.96,10.3,10.31,10.31,98535,0.0,1.0
2022-10-18,11.48,11.57,10.89,11.12,11.12,98580,0.0,1.0
2022-10-17,10.83,11.22,10.83,11.19,11.19,132862,0.0,1.0
2022-10-14,11.08,11.08,10.4,10.54,10.54,113043,0.0,1.0
2022-10-13,10.36,10.93,10.245,10.87,10.87,124473,0.0,1.0
2022-10-12,10.67,10.785,10.35,10.7,10.7,149941,0.0,1.0
2022-10-11,10.7,10.99,10.52,10.65,10.65,262856,0.0,1.0
2022-10-10,10.59,10.8,10.5,10.74,10.74,122664,0.0,1.0
2022-10-07,10.47,10.81,10.43,10.61,10.61,64245,0.0,1.0
2022-10-06,10.8,11.065,10.645,10.68,10.68,60760,0.0,1.0
2022-10-05,10.47,10.97,10.47,10.89,10.89,88249,0.0,1.0
2022-10-04,10.13,10.9,10.13,10.88,10.88,142266,0.0,1.0
2022-10-03,9.88,9.94,9.56,9.93,9.93,152172,0.0,1.0
2022-09-30,9.67,10.07,9.65,9.72,9.72,88358,0.0,1.0
2022-09-29,9.77,9.8,9.5,9.7,9.7,89583,0.0,1.0
2022-09-28,9.42,9.91,9.42,9.9,9.9,75869,0.0,1.0
2022-09-27,9.53,9.67,9.32,9.44,9.44,103630,0.0,1.0
2022-09-26,9.29,9.86,9.21,9.38,9.38,250007,0.0,1.0
2022-09-23,9.66,9.73,9.39,9.68,9.68,263527,0.0,1.0
2022-09-22,10.22,10.22,9.8,9.83,9.83,222260,0.0,1.0
2022-09-21,10.71,10.84,10.19,10.22,10.22,264107,0.0,1.0
2022-09-20,10.99,11.01,10.63,10.73,10.73,125952,0.0,1.0
2022-09-19,11.24,11.39,10.9,11.07,11.07,179043,0.0,1.0
2022-09-16,12.02,12.02,11.37,11.37,11.37,290255,0.0,1.0
2022-09-15,12.61,13.175,12.1,12.26,12.26,691390,0.0,1.0
2022-09-14,12.45,12.85,12.11,12.67,12.67,298581,0.0,1.0
2022-09-13,12.5,12.76,12.25,12.38,12.38,426887,0.0,1.0
2022-09-12,12.5,12.96,12.385,12.92,12.92,330150,0.0,1.0
2022-09-09,12.19,12.49,12.19,12.46,12.46,217454,0.0,1.0
2022-09-08,11.24,12.13,11.24,12.01,12.01,329585,0.0,1.0
2022-09-07,11.74,12.06,11.64,12.06,12.06,173946,0.0,1.0
2022-09-06,11.55,11.91,11.2201,11.68,11.68,301151,0.0,1.0
2022-09-02,11.8,11.8,11.29,11.42,11.42,329359,0.0,1.0
2022-09-01,11.59,11.65,11.03,11.6,11.6,273609,0.0,1.0
2022-08-31,11.72,12.07,11.44,11.91,11.91,641775,0.0,1.0
2022-08-30,11.93,11.97,11.51,11.6,11.6,173015,0.0,1.0
2022-08-29,11.6,11.95,11.3001,11.78,11.78,196173,0.0,1.0
2022-08-26,12.25,12.43,11.7,11.83,11.83,373322,0.0,1.0
2022-08-25,11.8,12.23,11.645,12.23,12.23,306412,0.0,1.0
2022-08-24,11.39,11.74,11.1101,11.72,11.72,269382,0.0,1.0
2022-08-23,10.92,11.36,10.78,11.29,11.29,310978,0.0,1.0
2022-08-22,10.62,11.11,10.501,11.04,11.04,397125,0.0,1.0
2022-08-19,11.16,11.21,10.7,10.84,10.84,197476,0.0,1.0
2022-08-18,11.08,11.47,11.02,11.35,11.35,189752,0.0,1.0
2022-08-17,11.33,11.48,11.07,11.23,11.23,199650,0.0,1.0
2022-08-16,11.24,11.87,11.0,11.48,11.48,287975,0.0,1.0
2022-08-15,11.13,11.5,11.03,11.33,11.33,230760,0.0,1.0
2022-08-12,11.13,11.52,11.02,11.25,11.25,436008,0.0,1.0
2022-08-11,11.33,11.57,10.82,11.09,11.09,485689,0.0,1.0
2022-08-10,11.38,11.47,10.93,11.16,11.16,613731,0.0,1.0
2022-08-09,12.83,12.83,10.9,11.06,11.06,1226110,0.0,1.0
2022-08-08,13.05,13.21,12.7104,12.9,12.9,367167,0.0,1.0
2022-08-05,12.9,13.15,12.72,13.11,13.11,652211,0.0,1.0
2022-08-04,14.96,14.96,12.71,12.97,12.97,2078973,0.0,1.0
2022-08-03,16.76,18.25,16.635,18.11,18.11,402375,0.0,1.0
2022-08-02,14.79,16.75,14.79,16.62,16.62,243218,0.0,1.0
2022-08-01,14.4,15.065,14.02,14.95,14.95,121840,0.0,1.0
2022-07-29,14.65,14.915,14.21,14.55,14.55,473119,0.0,1.0
2022-07-28,14.29,14.97,14.03,14.65,14.65,410276,0.0,1.0
2022-07-27,13.75,14.49,13.71,14.22,14.22,89421,0.0,1.0
2022-07-26,13.79,13.91,13.3,13.42,13.42,93655,0.0,1.0
2022-07-25,13.92,13.98,13.3,13.9,13.9,251257,0.0,1.0
2022-07-22,14.34,14.34,13.75,13.91,13.91,100873,0.0,1.0
2022-07-21,14.12,14.78,14.12,14.23,14.23,152407,0.0,1.0
2022-07-20,13.75,14.86,13.62,14.1,14.1,414291,0.0,1.0
2022-07-19,13.6,14.13,13.6,13.97,13.97,39803,0.0,1.0
2022-07-18,13.66,14.21,13.3,13.6,13.6,37134,0.0,1.0
2022-07-15,13.27,13.655,13.09,13.5,13.5,29213,0.0,1.0
2022-07-14,12.93,13.29,12.5,13.01,13.01,59593,0.0,1.0
2022-07-13,12.89,13.41,12.88,13.21,13.21,19805,0.0,1.0
2022-07-12,13.4,13.43,12.87,13.3,13.3,51029,0.0,1.0
2022-07-11,13.9,14.17,13.23,13.35,13.35,58069,0.0,1.0
2022-07-08,14.15,14.45,13.81,14.21,14.21,41674,0.0,1.0
2022-07-07,14.34,14.5,14.05,14.35,14.35,71840,0.0,1.0
2022-07-06,14.26,14.3797,14.0,14.06,14.06,54332,0.0,1.0
