,STI_Open,STI_High,STI_Low,STI_Close,STI_Adj Close,STI_Volume,STI_Dividend Amount,STI_Split Coefficient
2024-11-01,0.48,0.48,0.4172,0.4299,0.4299,4290248,0.0,1.0
2024-10-31,0.4016,0.505,0.4,0.4823,0.4823,12909901,0.0,1.0
2024-10-30,0.6572,0.689,0.452,0.4713,0.4713,250597572,0.0,1.0
2024-10-29,0.376,0.4,0.3623,0.396,0.396,520339,0.0,1.0
2024-10-28,0.3635,0.3835,0.358,0.376,0.376,286975,0.0,1.0
2024-10-25,0.395,0.4558,0.3633,0.3635,0.3635,1663105,0.0,1.0
2024-10-24,0.3611,0.373,0.3554,0.371,0.371,567514,0.0,1.0
2024-10-23,0.3602,0.3766,0.3582,0.3648,0.3648,97238,0.0,1.0
2024-10-22,0.3641,0.3771,0.3504,0.3676,0.3676,164250,0.0,1.0
2024-10-21,0.3643,0.3643,0.3481,0.3571,0.3571,67108,0.0,1.0
2024-10-18,0.3582,0.3695,0.345101,0.3643,0.3643,121096,0.0,1.0
2024-10-17,0.343,0.365,0.3425,0.3582,0.3582,50113,0.0,1.0
2024-10-16,0.3546,0.3599,0.3379,0.3599,0.3599,71167,0.0,1.0
2024-10-15,0.3498,0.3582,0.3439,0.3546,0.3546,113342,0.0,1.0
2024-10-14,0.3511,0.3631,0.3411,0.3606,0.3606,58383,0.0,1.0
2024-10-11,0.342,0.3554,0.3418,0.3511,0.3511,118084,0.0,1.0
2024-10-10,0.35,0.3563,0.3411,0.351,0.351,133895,0.0,1.0
2024-10-09,0.35,0.3652,0.35,0.3557,0.3557,98821,0.0,1.0
2024-10-08,0.3655,0.37,0.348,0.3566,0.3566,160899,0.0,1.0
2024-10-07,0.3675,0.3787,0.3675,0.3725,0.3725,144980,0.0,1.0
2024-10-04,0.351,0.3721,0.351,0.3695,0.3695,226096,0.0,1.0
2024-10-03,0.3544,0.3698,0.345,0.3654,0.3654,113180,0.0,1.0
2024-10-02,0.3639,0.374,0.3508,0.3544,0.3544,111898,0.0,1.0
2024-10-01,0.3649,0.3696,0.3552,0.3639,0.3639,47832,0.0,1.0
2024-09-30,0.368,0.3751,0.3513,0.369,0.369,131826,0.0,1.0
2024-09-27,0.3731,0.3731,0.35,0.3575,0.3575,118890,0.0,1.0
2024-09-26,0.365,0.377,0.3515,0.3659,0.3659,177235,0.0,1.0
2024-09-25,0.377,0.377,0.36,0.3649,0.3649,191121,0.0,1.0
2024-09-24,0.366,0.378,0.3607,0.3607,0.3607,133397,0.0,1.0
2024-09-23,0.3635,0.39245,0.3513,0.3657,0.3657,659565,0.0,1.0
2024-09-20,0.366,0.3785,0.354,0.3635,0.3635,279303,0.0,1.0
2024-09-19,0.3491,0.3699,0.3336,0.3538,0.3538,157159,0.0,1.0
2024-09-18,0.356,0.356,0.3321,0.3325,0.3325,169388,0.0,1.0
2024-09-17,0.3684,0.37,0.3437,0.356,0.356,113414,0.0,1.0
2024-09-16,0.3703,0.39,0.33,0.3506,0.3506,497977,0.0,1.0
2024-09-13,0.343,0.375,0.3421,0.37,0.37,129403,0.0,1.0
2024-09-12,0.37,0.3787,0.3421,0.3456,0.3456,127929,0.0,1.0
2024-09-11,0.3687,0.3862,0.3564,0.3781,0.3781,202662,0.0,1.0
2024-09-10,0.374,0.377,0.3386,0.3662,0.3662,432449,0.0,1.0
2024-09-09,0.3185,0.3791,0.3101,0.3609,0.3609,164238,0.0,1.0
2024-09-06,0.3208,0.323,0.3,0.3173,0.3173,151565,0.0,1.0
2024-09-05,0.3061,0.3296,0.305,0.32,0.32,101317,0.0,1.0
2024-09-04,0.317,0.3239,0.3018,0.3156,0.3156,267917,0.0,1.0
2024-09-03,0.3213,0.3372,0.306,0.3127,0.3127,213751,0.0,1.0
2024-08-30,0.322,0.34,0.32,0.3243,0.3243,590671,0.0,1.0
2024-08-29,0.351,0.37,0.32,0.3274,0.3274,323310,0.0,1.0
2024-08-28,0.3975,0.412,0.3425,0.36,0.36,540671,0.0,1.0
2024-08-27,0.415,0.415,0.3913,0.4,0.4,244658,0.0,1.0
2024-08-26,0.4273,0.435,0.3823,0.4127,0.4127,482879,0.0,1.0
2024-08-23,0.3795,0.438,0.3668,0.42,0.42,1170087,0.0,1.0
2024-08-22,0.3396,0.444,0.325,0.3964,0.3964,2972964,0.0,1.0
2024-08-21,0.335,0.365,0.315,0.3353,0.3353,1513990,0.0,1.0
2024-08-20,0.3076,0.406,0.3033,0.35,0.35,29663888,0.0,1.0
2024-08-19,0.3,0.3059,0.27,0.3031,0.3031,725242,0.0,1.0
2024-08-16,0.3264,0.3264,0.302,0.3068,0.3068,301831,0.0,1.0
2024-08-15,0.341,0.341,0.3102,0.325,0.325,681302,0.0,1.0
2024-08-14,0.351,0.351,0.3349,0.34,0.34,179623,0.0,1.0
2024-08-13,0.3597,0.3597,0.3436,0.3509,0.3509,660312,0.0,1.0
2024-08-12,0.3564,0.3594,0.34,0.3459,0.3459,314433,0.0,1.0
2024-08-09,0.3766,0.38235,0.3502,0.3672,0.3672,311882,0.0,1.0
2024-08-08,0.3895,0.3895,0.36,0.3748,0.3748,179962,0.0,1.0
2024-08-07,0.38,0.395,0.3746,0.3746,0.3746,98764,0.0,1.0
2024-08-06,0.4062,0.4116,0.3741,0.3799,0.3799,263894,0.0,1.0
2024-08-05,0.36,0.3999,0.3501,0.3906,0.3906,379232,0.0,1.0
2024-08-02,0.41,0.4121,0.3757,0.4011,0.4011,197823,0.0,1.0
2024-08-01,0.415,0.4259,0.4,0.4183,0.4183,171851,0.0,1.0
2024-07-31,0.4021,0.4167,0.395,0.413,0.413,245927,0.0,1.0
2024-07-30,0.4182,0.4182,0.395,0.4002,0.4002,222032,0.0,1.0
2024-07-29,0.435,0.435,0.3977,0.4105,0.4105,273919,0.0,1.0
2024-07-26,0.4182,0.4424,0.41,0.43,0.43,403890,0.0,1.0
2024-07-25,0.424,0.4296,0.4031,0.409,0.409,285714,0.0,1.0
2024-07-24,0.4459,0.446,0.4215,0.4297,0.4297,198285,0.0,1.0
2024-07-23,0.42,0.455,0.4195,0.444,0.444,766241,0.0,1.0
2024-07-22,0.438,0.446003,0.42,0.4346,0.4346,240318,0.0,1.0
2024-07-19,0.45,0.4515,0.4215,0.4252,0.4252,246670,0.0,1.0
2024-07-18,0.453,0.4553,0.4344,0.45,0.45,386022,0.0,1.0
2024-07-17,0.4595,0.4618,0.4384,0.4442,0.4442,333809,0.0,1.0
2024-07-16,0.4399,0.4798,0.4395,0.4663,0.4663,431389,0.0,1.0
2024-07-15,0.46,0.47,0.43,0.44,0.44,270625,0.0,1.0
2024-07-12,0.4299,0.4601,0.4215,0.4549,0.4549,548256,0.0,1.0
2024-07-11,0.4241,0.4479,0.4149,0.4291,0.4291,491658,0.0,1.0
2024-07-10,0.431,0.447,0.4064,0.4242,0.4242,895830,0.0,1.0
2024-07-09,0.45,0.4727,0.439,0.449,0.449,630484,0.0,1.0
2024-07-08,0.4604,0.4731,0.4446,0.452,0.452,660422,0.0,1.0
2024-07-05,0.42,0.4777,0.42,0.4649,0.4649,898621,0.0,1.0
2024-07-03,0.3738,0.46,0.3699,0.4481,0.4481,3010599,0.0,1.0
2024-07-02,0.499,0.499,0.4706,0.4717,0.4717,606348,0.0,1.0
2024-07-01,0.525,0.5921,0.4898,0.5,0.5,1305972,0.0,1.0
2024-06-28,0.4491,0.58,0.42,0.55,0.55,2188277,0.0,1.0
2024-06-27,0.4783,0.4783,0.4128,0.44,0.44,950716,0.0,1.0
2024-06-26,0.4871,0.4871,0.46101,0.4739,0.4739,725508,0.0,1.0
2024-06-25,0.5196,0.5225,0.468,0.4871,0.4871,964123,0.0,1.0
2024-06-24,0.5319,0.5522,0.5,0.5201,0.5201,1054909,0.0,1.0
2024-06-21,0.5823,0.589,0.5073,0.53,0.53,1634193,0.0,1.0
2024-06-20,0.65,0.65,0.5325,0.5701,0.5701,2671817,0.0,1.0
2024-06-18,0.562,0.8762,0.5376,0.688,0.688,16360799,0.0,1.0
2024-06-17,2.04,2.12,1.835,1.93,1.93,214883,0.0,1.0
2024-06-14,1.92,2.21,1.86,2.12,2.12,264891,0.0,1.0
2024-06-13,1.77,1.97,1.76,1.89,1.89,166744,0.0,1.0
2024-06-12,1.78,1.98,1.7,1.81,1.81,254594,0.0,1.0
2024-06-11,1.41,2.0499,1.41,1.78,1.78,847490,0.0,1.0
2024-06-10,1.71,1.71,1.3501,1.41,1.41,247242,0.0,1.0
2024-06-07,1.85,1.85,1.72,1.74,1.74,95731,0.0,1.0
2024-06-06,1.99,2.0,1.83,1.88,1.88,74845,0.0,1.0
2024-06-05,2.05,2.05,1.89,1.98,1.98,74185,0.0,1.0
2024-06-04,1.99,2.09,1.88,2.06,2.06,75511,0.0,1.0
2024-06-03,2.08,2.11,1.87,2.0,2.0,173402,0.0,1.0
2024-05-31,2.19,2.23,2.05,2.09,2.09,123859,0.0,1.0
2024-05-30,2.24,2.42,2.15,2.24,2.24,111419,0.0,1.0
2024-05-29,2.17,2.21,2.11,2.15,2.15,69528,0.0,1.0
2024-05-28,2.5,2.5,2.11,2.22,2.22,174806,0.0,1.0
2024-05-24,2.25,2.42,2.15,2.42,2.42,262486,0.0,1.0
2024-05-23,2.25,2.255,2.02,2.06,2.06,93683,0.0,1.0
2024-05-22,2.2,2.35,2.13,2.14,2.14,174979,0.0,1.0
2024-05-21,2.11,2.2,2.1,2.18,2.18,44064,0.0,1.0
2024-05-20,2.18,2.18,2.02,2.13,2.13,53604,0.0,1.0
2024-05-17,2.26,2.26,2.01,2.13,2.13,89825,0.0,1.0
2024-05-16,2.17,2.24,2.13,2.2,2.2,91912,0.0,1.0
2024-05-15,2.31,2.34,2.15,2.16,2.16,150130,0.0,1.0
2024-05-14,2.3,2.43,2.2802,2.36,2.36,98202,0.0,1.0
2024-05-13,2.3,2.43,2.23,2.4,2.4,111195,0.0,1.0
2024-05-10,2.32,2.46,2.17,2.23,2.23,99035,0.0,1.0
2024-05-09,2.44,2.455,2.29,2.32,2.32,75178,0.0,1.0
2024-05-08,2.35,2.5,2.33,2.42,2.42,152696,0.0,1.0
2024-05-07,2.38,2.6,2.32,2.32,2.32,180538,0.0,1.0
2024-05-06,2.36,2.5169,2.36,2.38,2.38,151139,0.0,1.0
2024-05-03,2.43,2.5999,2.35,2.4,2.4,166242,0.0,1.0
2024-05-02,2.48,2.49,2.24,2.44,2.44,417060,0.0,1.0
2024-05-01,2.1,3.0,2.1,2.16,2.16,1678404,0.0,1.0
2024-04-30,2.44,2.5,2.07,2.1,2.1,312723,0.0,1.0
2024-04-29,2.37,2.91,2.22,2.41,2.41,551601,0.0,1.0
2024-04-26,2.44,3.25,2.3,2.3,2.3,1306373,0.0,1.0
2024-04-25,1.96,2.45,1.771,2.44,2.44,586779,0.0,1.0
2024-04-24,1.49,2.025,1.47,1.98,1.98,869746,0.0,1.0
2024-04-23,1.35,1.61,1.32,1.52,1.52,375700,0.0,1.0
2024-04-22,1.41,1.4899,1.32,1.37,1.37,241178,0.0,1.0
2024-04-19,1.48,1.53,1.365,1.4,1.4,303059,0.0,1.0
2024-04-18,1.96,2.02,1.36,1.5,1.5,554558,0.0,1.0
2024-04-17,2.22,2.29,1.97,1.98,1.98,204121,0.0,1.0
2024-04-16,2.31,2.34,2.165,2.2,2.2,173494,0.0,1.0
2024-04-15,2.73,2.73,2.35,2.445,2.445,354269,0.0,1.0
2024-04-12,3.0,3.0836,2.42,2.77,2.77,436478,0.0,1.0
2024-04-11,3.16,3.25,2.74,3.0,3.0,461778,0.0,1.0
2024-04-10,3.15,3.5099,3.1101,3.22,3.22,433176,0.0,1.0
2024-04-09,3.89,3.92,3.11,3.18,3.18,613544,0.0,1.0
2024-04-08,3.35,4.44,3.35,3.9,3.9,1934873,0.0,1.0
2024-04-05,2.98,3.43,2.93,3.35,3.35,877688,0.0,1.0
2024-04-04,2.74,3.2,2.67,2.95,2.95,753039,0.0,1.0
2024-04-03,2.56,2.79,2.55,2.69,2.69,261764,0.0,1.0
2024-04-02,2.37,2.73,2.3,2.62,2.62,273708,0.0,1.0
2024-04-01,2.68,2.71,2.285,2.44,2.44,514282,0.0,1.0
2024-03-28,2.9,2.91,2.62,2.75,2.75,507830,0.0,1.0
2024-03-27,2.91,3.06,2.75,2.92,2.92,445205,0.0,1.0
2024-03-26,2.85,2.94,2.53,2.89,2.89,782572,0.0,1.0
2024-03-25,3.16,3.25,2.83,2.91,2.91,809580,0.0,1.0
2024-03-22,2.99,3.75,2.8,3.23,3.23,3520323,0.0,1.0
2024-03-21,2.82,3.08,2.55,3.08,3.08,1850158,0.0,1.0
2024-03-20,2.74,2.883,2.4201,2.7,2.7,1333650,0.0,1.0
2024-03-19,2.72,2.94,2.32,2.93,2.93,3434147,0.0,1.0
2024-03-18,3.25,3.64,2.61,2.72,2.72,90613338,0.0,1.0
2024-03-15,1.47,2.4,1.395,1.74,1.74,25219952,0.0,1.0
2024-03-14,0.885,2.05,0.87,1.3,1.3,13241804,0.0,1.0
2024-03-13,1.36,1.53,1.24,1.25,1.25,1199918,0.0,1.0
2024-03-12,1.69,1.69,1.26,1.44,1.44,3353989,0.0,1.0
2024-03-11,0.84,3.08,0.836,1.75,1.75,105202889,0.0,1.0
2024-03-08,0.7455,0.895,0.63,0.7752,0.7752,1836233,0.0,1.0
2024-03-07,0.6,0.9,0.6,0.739,0.739,2636679,0.0,1.0
2024-03-06,0.579,0.5849,0.513,0.541,0.541,365780,0.0,1.0
2024-03-05,0.5196,0.59765,0.4829,0.545,0.545,346065,0.0,1.0
2024-03-04,0.4713,0.53,0.45,0.53,0.53,260878,0.0,1.0
2024-03-01,0.4795,0.484,0.431,0.473,0.473,396090,0.0,1.0
2024-02-29,0.6089,0.61,0.5,0.5003,0.5003,1561537,0.0,1.0
2024-02-28,0.6272,0.64,0.55,0.5935,0.5935,375769,0.0,1.0
2024-02-27,0.67,0.6892,0.551,0.6357,0.6357,682678,0.0,1.0
2024-02-26,0.5481,0.6772,0.5355,0.67,0.67,1669455,0.0,1.0
2024-02-23,0.435,0.4889,0.4,0.4802,0.4802,1039378,0.0,1.0
2024-02-22,0.4811,0.488,0.371,0.4062,0.4062,1700238,0.0,1.0
2024-02-21,0.62,0.62,0.4799,0.5,0.5,1412520,0.0,1.0
2024-02-20,0.7176,0.8226,0.6,0.627,0.627,1608136,0.0,1.0
2024-02-16,0.7052,0.7299,0.67,0.68,0.68,314066,0.0,1.0
2024-02-15,0.8,0.8,0.68,0.7,0.7,588488,0.0,1.0
2024-02-14,0.672,0.83,0.672,0.81,0.81,696591,0.0,1.0
2024-02-13,0.8888,0.89,0.691,0.7,0.7,799625,0.0,1.0
2024-02-12,1.02,1.15,0.86,0.9,0.9,697737,0.0,1.0
2024-02-09,1.07,1.14,0.9601,1.0,1.0,383683,0.0,1.0
2024-02-08,1.45,1.49,1.1,1.16,1.16,901531,0.0,1.0
2024-02-07,2.08,2.14,1.7,1.75,1.75,455265,0.0,1.0
2024-02-06,2.4,2.6599,1.84,2.1,2.1,204085,0.0,1.0
2024-02-05,2.47,3.03,2.47,3.03,3.03,111359,0.0,1.0
2024-02-02,5.3,6.2,4.25,4.53,4.53,78300,0.0,1.0
